phon,gen
asjEʁi,f
akme,f
akne,f
akOlit,m
ak2t,m
akOnje,m
akOnit,m
akufɛn,m
akustik,f
akwatOfana,f
akEʁœʁ,m
akjEsəm1,m
aki,m
akizisj2,f
akitəm1,m
akʁəte,f
akʁimOni,f
akʁObasi,f
akʁOmj2,m
akʁOnim,m
akʁOfObi,f
akʁOpɔl,f
akʁOstiʃ,m
akʁOtɛʁ,m
akʁilik,m
akʁilOnitʁil,m
aktœʁ,m
aktin,f
aktini,f
akʃœnpEntiŋ,f
aksjOnaʁja,m
aksjɔnəm1,m
aksjOnœʁ,m
aktivatœʁ,m
aktivasj2,f
aktivizm,m
aktʁis,f
aktɥalizasj2,f
aktɥalite,f
aktɥasj2,f
akɥite,f
akymɛn,m
akyp2ktœʁ,m
akyp2ktyʁ,f
ada,m
adaʒ,m
adaptabilite,f
adaptatœʁ,m
adaptasj2,f
ad3da,m
ad3dɔm,m
aditif,m
adisj2,f
adyktœʁ,m
adyksj2,f
adEnin,f
adEnOkaʁsinom,m
adEnom,m
adEnOpati,f
adEnOzin,f
adEnOviʁys,m
ad1,m
adEkwasj2,f
adEʁ1s,f
adEʁ1,m
adEzif,m
adEzj2,f
adjø,m
adipOzite,f
adʒa,m
adʒEktif,m
adʒw3,m
adʒw3t,f
adʒyd1ʃɛf,m
adʒyd1maʒɔʁ,m
adʒypɛt,m
adʒyʁasj2,f
adʒytʁis,f
adʒyv1,m
administʁasj2,f
administʁativ,f
administʁatʁis,f
administʁe,m
administʁe,f
admiʁatœʁ,m
admiʁatʁis,f
admi,m
admisibilite,f
admikstj2,f
admOnEstasj2,f
admOnisj2,f
adɔb,m
adOlEs1s,f
adOlEs1,m
adOlEs1t,f
ad2,m
adOni,f
adOnis,m
adOpt1,m
adOpte,m
adOpsj2,f
adOʁatœʁ,m
adOʁasj2,f
adOʁatʁis,f
ado,m
adubəm1,m
adusis1,m
adusisœʁ,m
adepe,m
adʁEnalin,f
adʁEsaʒ,m
adʁɛs,f
adʁɛ,m
adylatœʁ,m
adylta,m
adyltEʁasj2,f
adyltɛʁ,m
Eʒip1,m
aEʁaʒ,m
aEʁatœʁ,m
aEʁasj2,f
aEʁj3,m
aEʁOklœb,m
aEʁo,m
aEʁObik,m
aEʁodʁom,m
aEʁOdinamik,f
aEʁodinamizm,m
aEʁOfʁ3,m
aEʁOgaʁ,f
aEʁOglisœʁ,m
aEʁOgʁaf,m
aEʁOlit,m
aEʁOlOʒi,f
aEʁOmOdElizm,m
aEʁonotik,f
aEʁOnaval,f
aEʁOnɛf,m
aEʁOpati,f
aEʁOfaʒi,f
aEʁOplan,m
aEʁOpɔʁ,m
aEʁOpOstal,f
aEʁOsɔl,m
aEʁOspasjal,f
aEʁOsta,m
aEʁOstje,m
aEʁOtʁ3,m
afabilite,f
afabylasj2,f
afabylatʁis,f
afaktyʁaʒ,m
afadisəm1,m
afEblisəm1,m
afɛʁ,f
afEʁe,m
afEʁe,f
afEʁizm,m
afEsəm1,m
afaləm1,m
afame,m
afame,f
afɛkt,m
afEktasj2,f
afEksj2,f
afEktivite,f
afɛʁmisəm1,m
afEtəʁi,f
afiʃaʒ,m
afiʃ,f
afiʃɛt,f
afiʃœʁ,m
afidavi,m
afide,m
afilje,m
afilje,f
afinaʒ,m
afinəm1,m
afinite,f
afikɛ,m
afiʁmasj2,f
afiʁmativ,f
aflœʁəm1,m
afly1s,f
afly,m
afɔləm1,m
afwaʒ,m
afujəm1,m
afʁ1ʃi,f
afʁɛtəm1,m
afʁEtœʁ,m
afʁ2,m
afʁ2təm1,m
afybləm1,m
afyzj2,f
afy,m
afytaʒ,m
afytœʁ,m
afg1,m
afgan,f
afisjOnado,m
afʁik3,m
afʁikɛn,f
afʁikanism,m
afʁik1s,m
afʁoamEʁik3,m
afʁOamEʁik3,f
afʁOkyb3,m
afʁOkybɛn,f
aftœʁʃɛv,m
agas,f
agasəm1,m
agasœʁ,m
agam,m
agami,m
agap1t,f
agaʁagaʁ,m
agat,f
agav,m
aʒ,m
aʒ1s,f
aʒ1səm1,m
aʒ1,m
aʒ1t,f
aʒjɔʁnamɛnto,m
aglo,m
aglOmEʁa,m
aglOmEʁasj2,f
aglOmEʁe,m
aglytinasj2,f
aglytinəm1,m
aglytinOʒɛn,m
agʁavasj2,f
agʁav,f
agʁave,f
aʒilite,f
aʒjo,m
aʒjOtœʁ,m
aʒizm,m
aʒitpʁɔp,f
aʒitatœʁ,m
aʒitatʁis,f
aʒite,m
aʒite,f
aɲa,m
aɲat,m
aɲo,m
aɲəlaʒ,m
aɲəlɛ,m
aɲəlin,f
aɲɛl,f
agnOzi,f
agnusdEi,m
agOni,f
agOniz1,m
agOniz1t,f
agOʁa,f
agOʁafObi,f
aguti,m
agOjat,m
agʁafaʒ,m
agʁaf,f
agʁafœʁ,m
agʁaføz,f
agʁEnaʒ,m
agʁanylOsitoz,f
agʁEabl,m
agʁEe,m
agʁɛg,f
agʁEga,m
agʁEgatif,m
agʁEgasj2,f
agʁEgativ,f
agʁEʒe,m
agʁEʒe,f
agʁEm1,m
agʁɛ,m
agʁEsœʁ,m
agʁEsj2,f
agʁEsivite,f
agʁikyltœʁ,m
agʁikyltʁis,f
agʁipəm1,m
agʁOalim1tɛʁ,m
agʁOnOmi,f
agʁOvij,f
agwaʁdjɛnte,f
agiʃaʒ,m
agiʃ,f
agiʃøz,f
a1,m
ayʁi,f
ayʁisəm1,m
ai,m
aid,m
ɛdk2tabl,m
ɛdkɥizinje,m
ɛdʒaʁdinje,m
ɛdmaʒɔʁ,m
ɛdmEmwaʁ,m
ɛdmEnaʒɛʁ,f
ɛdswaɲ1t,f
ajœl,m
ajœl,f
ɛgləf3,m
Egl2,m
Egʁɛt,f
Egʁœʁ,f
Egʁi,f
Egy,m
Egad,f
Egaj,m
ɛgmaʁin,f
Egjɛʁ,f
Egɥijaʒ,m
Egɥija,m
Egɥij,f
Egɥije,f
Egɥijɛt,f
Egɥijœʁ,m
Egɥij2,m
Egizœʁ,m
Egizwaʁ,m
ajkido,m
ɛl,f
Elɛt,f
Elje,m
Em1,m
Em1tasj2,f
Emøz,f
Ene,m
Ene,f
Enɛs,f
ajOli,m
ɛʁbag,m
ɛʁ,m
ɛʁbys,m
ɛʁ,f
ɛʁədal,m
Eʁɛl,f
Ez1s,f
Eso,m
Esɛl,f
ɛtʁ,m
Ekswa,m
aʒaksjɛn,f
aʒaks,m
aʒ2,m
aʒuʁ,m
aʒut,f
aʒute,m
aʒystaʒ,m
aʒystəm1,m
aʒystœʁ,m
aʒystyʁ,f
aʒytaʒ,m
ako,m
akvavi,m
alab1din,f
alɛz,f
al1gisəm1,m
alaʁm,f
alaʁmizm,m
alba,f
albakɔʁ,m
albanɛ,m
albanɛz,f
albatʁos,m
alb,m
albɛn,m
albɛʁtin,f
albiʒwa,m
albinizm,m
albygo,m
albymin,f
alkald,m
alkali,m
alkalinite,f
alkalOid,m
alkaloz,f
alkatʁaz,m
alse,f
alʃimi,f
alsibjad,m
alkOlEmi,f
alkOlizm,m
alkOmɛtʁ,m
alkOtɛst,m
alkOʁ1,m
alsj2,m
ald,m
aldEid,m
aldɛʁman,m
aldɔl,m
al,f
alEa,m
alɛʁt,f
alEks1dʁa,m
alEks1dʁ3,m
alEksi,f
alEksitimi,m
aləz1,m
alfEnid,m
algaʁad,f
alʒEʁj3,m
alʒEʁjɛn,f
alʒi,f
alg2k3,m
alg2kin,f
algOʁitm,m
alg,f
alidad,f
aljEnasj2,f
aljEne,m
aljEne,f
aligo,m
aligOte,m
alim,f
alim1tasj2,f
alinEa,m
aliz,f
alizje,m
alitəm1,m
alize,m
al1,m
ale,f
alEgasj2,f
alEʒ1s,f
alEʒəm1,m
alɛʒəm1,m
alEgOʁi,f
alEgʁɛs,f
alEgʁo,m
alɛl,m
alEluja,m
aləmaɲ,f
aləm1,m
aləm1d,f
alEʁətuʁ,m
alɛʁʒɛn,m
alɛʁʒi,f
alɛʁgOlOʒi,f
aljaʒ,m
alj1s,f
alje,m
alje,f
aligatɔʁ,m
alitEʁasj2,f
aljɔm,m
alObaʁbital,m
alɔk,f
alOkasj2,f
alOkton,m
alOkysj2,f
alOgʁɛf,f
al2ʒ,f
al2ʒəm1,m
alOpati,f
alymaʒ,m
alyme,m
alyme,f
alymœʁ,m
alymøz,f
alymwaʁ,m
alyʁ,f
alyvj2,f
alme,f
alOɛs,m
alwa,m
alOpEsi,f
aloz,f
alwɛt,f
aluʁdisəm1,m
alwajo,m
alpaga,m
alpaʒ,m
alp,f
alp1stɔk,m
alfabɛ,m
alfabEtizasj2,f
alzasjɛn,f
alstOnja,f
altɛʁEgo,m
altEʁasj2,f
altɛʁkasj2,f
altEʁite,f
altɛʁnatœʁ,m
altɛʁnativ,f
altEa,f
altityd,f
altʁɥizm,m
altyglas,m
alyd,f
alɥɛt,f
alyminjɔm,m
al4,m
alynisaʒ,m
alvaʁ,m
alvEɔl,m
alis,m
amabilite,f
amEgʁisəm1,m
amalgam,m
am1,m
am1d,f
am1din,f
am1t,f
amaʁo,m
ama,m
amatØʁizm,m
amatʁis,f
amOʁoz,f
amazon,f
1baʒ,f
1basadœʁ,m
1basadʁis,f
1bigɥite,f
1bisjøz,f
1bisjø,m
1bisj2,f
1bival1s,f
1b2,m
1bʁwazi,f
1byl1sje,m
1byl1sjɛʁ,f
1byl1,m
amsœʁ,f
am,f
ame,m
amEljOʁasj2,f
amEnaʒəm1,m
am1dəm1,m
aməne,f
amEnite,f
amEnOʁe,f
amənɥizəm1,m
amɛʁ,m
amEʁik3,m
amEʁikɛn,f
amEʁikanizasj2,f
amEʁikanizm,m
amEʁikanite,f
amEʁikano,m
amEʁisjɔm,m
amEʁ3dj3,m
amEʁ3djɛn,f
amEʁik,f
amEʁisaʒ,m
amɛʁtym,f
amEtist,f
amœbləm1,m
amaʁik,m
ami,m
amj1t,m
amikal,f
amikalite,f
amid2,m
ami,f
am3sis1,m
am3sisəm1,m
amin,f
aminOasid,m
aminOfilin,f
amiʁal,m
amiʁOte,f
amitje,f
amOnit,f
amOnitʁat,m
amOnjɔm,m
amnEzi,f
amnjOs3tɛz,f
amnjos,m
amnisti,f
amnistje,m
amnistje,f
amw3dʁisəm1,m
amɔk,m
amOlisəm1,m
am2,m
amOʁalite,f
amɔʁsaʒ,m
amɔʁs,f
amɔʁswaʁ,m
amɔʁti,m
amɔʁtisəm1,m
amɔʁtisœʁ,m
amuʁgu,m
amuʁpasj2,m
amuʁ,m
amuʁøz,f
amuʁø,m
#DEF#,f
1pElOpsis,m
1pEʁaʒ,m
1pɛʁ,m
1pɛʁəmɛtʁ,m
1fe,m
1fEtamin,f
1fi,m
1fibi,m
1fibj3,m
1figuʁi,m
1fitEatʁ,m
1fitʁit,f
1fitʁij2,m
1fɔʁ,f
1plœʁ,f
1plitynɛʁ,m
1plifikasj2,f
1plityd,f
1pul,f
1pyte,m
amylɛt,f
amyʁ,f
amyzbuʃ,m
amyzgœl,m
amyzəm1,m
amidal,f
amidalEktOmi,f
amidalit,f
amilaz,f
amil,m
ana,m
anabaz,f
anabOliz1,m
anakOʁɛt,m
anakʁOnizm,m
anakOlyt,f
anak2da,m
anaglif,m
anagʁam,f
analEptik,m
analʒEzi,f
analʒEzik,m
analOʒi,f
analɔg,m
analfabEtizm,m
analiz1,m
analize,m
analize,f
analizœʁ,m
analitik,f
anamnɛz,f
anamɔʁfoz,f
anana,m
anafaz,f
anafilaksi,f
anaʁʃizm,m
anaʁkOs3dikalizm,m
anastOmoz,f
anatɛm,m
anatide,m
anatif,m
anatOmi,f
1sEstʁalite,f
1ʃ,f
1kilɔps,m
1ʃwajad,f
1ʃwa,m
1sj3,m
1sjɛn,f
1sjɛnəte,f
1kOli,f
1kʁaʒ,m
1da,m
1d3,m
1daluz,f
1d1t,m
1duje,m
1dujɛt,f
1dʁinɔpl,f
1dʁOʒɛn,m
1dʁOʒini,f
1dʁOid,m
1dʁOpoz,f
an,m
anE1tisəm1,m
anEkdɔt,f
anEkdOtje,m
anEmi,f
anEmOmɛtʁ,m
anEmɔn,f
anəʁi,f
anEstEzj1,m
anEstEzi,f
anEstEzik,m
anEvʁizm,m
1fʁaktɥOzite,f
1ʒ,m
1ʒEit,f
1ʒElik,f
1ʒElizm,m
1ʒəlo,m
1ʒElys,m
1ʒəv3,m
1ʒəvin,f
1ʒjOkOlit,f
1ʒjOgʁafi,f
1ʒjom,m
1ʒjOplasti,f
1glɛz,f
1glətɛʁ,f
1glik1,m
1glikan,f
1glisizasj2,f
1glisizm,m
1glOamEʁik3,m
1glOaʁab,m
1glOsaks2,m
1glOmani,f
1glOfObi,f
1gwas,f
1gwase,m
1gOlɛ,m
1gɔʁ,m
1gOʁa,m
1gstʁøm,m
1gijyl,f
1gi,m
1gylOzite,f
1gystyʁa,f
anElasj2,f
anidʁid,m
anilin,f
animalEspj2,m
animalʁwa,m
animalkyl,m
animaləʁi,f
animalje,m
animalite,f
animizm,m
animOzite,f
animys,m
anis,m
anize,m
anizɛt,f
1k,m
anal,f
ano,m
anElymjɛʁ,f
aneɔm,f
anəlɛ,m
anəlyʁ,f
anEksj2,f
aniilasj2,f
aniv,m
an2sœʁ,m
an2søz,f
an2sjatœʁ,m
an2sjasj2,f
an2sjatʁis,f
anOtasj2,f
anɥɛʁ,m
anylɛʁ,m
anOblisəm1,m
anɔd,f
anOmali,f
anOmuʁ,m
anɔnəm1,m
anOnima,m
anOnimogʁaf,m
anOfɛl,m
anOʁak,m
anOʁEksi,f
anɔʁmal,m
anɔʁmal,f
anɔʁmalite,f
anOsmi,f
anOksi,f
1s,f
1tagOnizm,m
1talʒik,m
1t,f
1tEsEd1,m
1tEkʁist,m
1tɛn,f
1tEpEnyltjɛm,f
1tOlOʒi,f
1tOnɔm,m
1tʁasɛn,m
1tʁasin,m
1tʁasit,m
1tʁakoz,f
1tʁakinɔn,f
1tʁaks,m
1tʁOpOlOʒi,f
1tʁOpOmEtʁi,f
1tʁOpOmɔʁfizm,m
1tʁOpOfaʒi,f
1tʁOpOpitɛk,m
1tiakne,f
1tiaEʁj3,m
1tiagʁEsj2,f
1tialɛʁʒi,f
1tiapaʁtɛd,m
1tiavɔʁtəm1,m
1tibof,m
1tibiz2,m
1tibl3daʒ,m
1tibluz2,m
1tib2b,f
1tibOz2,m
1tibʁakaʒ,m
1tibʁujaʁ,m
1tibʁɥi,m
1tik1sɛʁ,m
1tisElylit,f
1tiʃ1bʁ,f
1tiʃaʁ,m
1tiʃj3,m
1tisite,f
1tisivilizasj2,f
1tiklœb,m
1tikOlɛʁ,f
1tikOmynizm,m
1tik2fɔʁmizm,m
1tikɔʁ,m
1tikOʁypsj2,f
1tikʁaʃ,m
1tikʁim,m
1tikʁiminalite,f
1tidOf3,m
1tidEboʃ,f
1tidEm2,m
1tidEspEʁado,m
1tidjø,m
1tidiskʁiminasj2,f
1tidOpaʒ,m
1tidulœʁ,f
1tidʁag,f
1tidʁɔg,f
1tiEspjɔn,f
1tiEstabliʃmœnt,m
1tiEvazj2,f
1tiEgzist1s,f
1tiEksplOzj2,f
1tif1tom,m
1tifam,f
1tifl3gaʒ,m
1tiflip,m
1tifʁigo,m
1tifyze,f
1tiʒɛl,m
1tiʒɛʁs,f
1tiguvɛʁnəm1,m
1tigʁafiti,m
1tigʁavite,f
1tigʁimas,f
1tianət2,m
1tiimigʁasj2,f
1ti3s1di,m
1tiinɛʁsi,f
1ti3flamatwaʁ,m
1ti3sɛkt,m
1ti3st3,m
1ti3timite,f
1tiʒap2,m
1timafja,f
1timEz2,f
1timanipylasj2,f
1timanwaʁ,m
1timaʁjaʒ,m
1timatjɛʁ,f
1timɛk,m
1timEdikam1,m
1timEtEOʁit,f
1timisil,m
1timit,f
1tim2d,m
1timustik,m
1tinOze,f
1tinaviʁ,m
1tinyklEɛʁ,m
1tiOdœʁ,f
1tiOʁiʒin,f
1tipanaʃ,m
1tipaʁtikyl,f
1tipastœʁ,m
1tipiʁataʒ,m
1tipwaz2,m
1tipwas,f
1tipOlysj2,f
1tipu,m
1tipys,f
1tiʁakɛt,m
1tiʁadjasj2,f
1tiʁapt,m
1tiʁəflɛ,m
1tiʁəʒɛ,m
1tiʁəliʒj2,f
1tiʁym,m
1tiʁid,f
1tiʁOm3,m
1tiʁuj,f
1tisEmitizm,m
1tisida,m
1tisOsjEte,f
1tisɔmnOl1s,f
1tisufl,m
1tistʁɛs,m
1titaʃ,f
1tit1k,m
1titapisəʁi,f
1tit1,m
1tit1sj2,f
1titEʁOʁizm,m
1titɔʁnad,f
1titu,f
1titʁɥi,f
1titʁœst,m
1tivən3,m
1tivjEjisəm1,m
1tivjɔl,m
1tivjOl1s,f
1tiviʁys,m
1tiamEʁikanizm,m
1tibjOtik,m
1tibwa,m
1tibɔlʃəvizm,m
1tikatalizœʁ,m
1tikʁistjanizm,m
1tiklEʁikalizm,m
1tikOagyl1,m
1tikOlOnjalizm,m
1tisiklon,m
1tidEmaʁaʒ,m
1tidEpʁEsœʁ,m
1tidEʁap1,m
1tidɔt,m
1tidʁEfyzaʁ,m
1tidʁEfyzizm,m
1tiEmEtik,m
1tjɛn,f
1tifEdiŋ,m
1tifaʃizm,m
1tifEminizm,m
1tif2ʒik,m
1tiʒɛʁmanizm,m
1tigʁavitasj2,f
1tigʁip,f
1tiEʁo,m
1tiistaminik,m
1tijɛ,m
1tijɛz,f
1tilɔp,f
1timilitaʁizm,m
1timit,m
1timitOtik,m
1timwan,m
1tinazi,m
1tinOmi,f
1tiOksid1,m
1tipap,m
1tipaʁazit,m
1tifOnɛʁ,m
1tifʁaz,f
1tipʁOtEaz,f
1tipʁOt2,m
1tipsikjatʁi,f
1tipsikOtik,m
1tikaj,f
1tikajəʁi,f
1tikwaʁk,m
1tikite,f
1tiʁasizm,m
1tiʁuj,m
1tisEpsi,f
1tisEptik,m
1tisEʁɔm,m
1tisOsjal,m
1tisOvjEtizm,m
1tispasmOdik,m
1tistalinj3,m
1titɛz,f
1titu,m
1titOksin,f
1titybɛʁkylø,m
1tiviʁal,m
1tOnOmaz,f
1tOnim,m
anys,m
anyskOpi,f
1ksjEte,f
1ksjøz,f
1ksjOlitik,m
ania,m
aOʁist,m
aɔʁt,f
aul,m
ut,m
auta,m
ausj3,m
apanaʒ,m
apati,f
apaks,m
ap,m
apɛʁsEpsj2,f
apɛʁsy,m
apEʁitif,m
apEʁo,m
apəz1tœʁ,f
apɛks,m
afaniptɛʁ,m
afazi,f
afEʁɛz,f
afOni,f
afOʁizm,m
afʁOdizi,f
afʁOdit,f
aft,m
api,m
apikyltœʁ,m
apikyltʁis,f
apikyltyʁ,f
apj2,m
apis,m
apitwam1,m
aplazi,f
aplatisəm1,m
apl2,m
apne,f
apOkalips,f
apOkɔp,f
apOkʁif,m
apOʒe,m
apOlitizm,m
apOl2,m
apOlOʒi,f
apOlɔg,m
apOnEvʁoz,f
apOftɛgm,m
apOplEksi,f
apOptoz,f
apOstazi,f
apOsta,m
apOstat,f
apOstOla,m
apOstʁɔf,f
apOstym,m
apOtEoz,f
apOtikɛʁ,m
apOtikɛʁəʁi,f
apaʁa,m
#DEF#,m
apaʁɛjfOto,m
apaʁEjaʒ,m
apaʁ1təm1,m
apaʁitœʁ,m
apaʁtəm1ʁwa,m
apaʁtən1s,f
apEvʁisəm1,m
apo,m
apəlœʁ,m
apElasj2,f
ap3disEktOmi,f
ap3disit,f
ap1ti,m
apəz1tisəm1,m
apEt1s,f
apEti,m
aplOdimɛtʁ,m
aplOdisəm1,m
aplOdisœʁ,m
aplikabilite,f
aplikatœʁ,m
aplikasj2,f
apOdʒjatyʁ,f
ap2taʒ,m
ap2təm1,m
apɔʁ,m
apOzisj2,f
apʁEsjatœʁ,m
apʁEsjasj2,f
apʁEsjatʁis,f
apʁE1sj2,f
apʁ1tipilɔt,m
apʁ1tisɔʁsje,m
apʁ1ti,m
apʁ1ti,f
apʁɛ,m
apʁObasj2,f
apʁɔʃ,f
apʁOf2disəm1,m
apʁOpʁijasj2,f
apʁOksimasj2,f
apɥim3,m
apɥitɛt,m
apʁɛm,f
apʁɛku,m
apʁEdEjəne,m
apʁEdine,m
apʁEmɔʁ,f
apʁEʁazaʒ,m
apʁɛʁəpa,m
apʁɛʃ1pw3,m
apʁEski,m
aptityd,f
akwakyltyʁ,f
akwaʒim,f
akwaplan,m
akwaʁjOfili,f
akwaʁjɔm,m
akwat3t,f
akil2,m
aʁabɛsk,f
aʁabiz1,m
aʁak,m
aʁaʃid,f
aʁaknOid,f
aʁagOnɛ,m
aʁagOnit,f
aʁɛɲ,f
aʁEɲEkʁab,f
aʁEɲe,f
aʁɛʁ,m
aʁaldit,m
aʁalja,m
aʁamE3,m
aʁam2,m
aʁapɛd,m
aʁOk1,m
aʁbalɛt,f
aʁbalEtʁije,m
aʁbi,m
aʁbitʁɛʁ,m
aʁbOʁEs1s,f
aʁbOʁEtɔm,m
aʁbOʁikyltœʁ,m
aʁbOʁikyltyʁ,f
aʁbOʁizasj2,f
aʁbuzje,m
aʁbʁəʁəfyʒ,m
aʁkbut1,m
aʁkbutəm1,m
aʁk,m
aʁkad,f
aʁkadj3,m
aʁkatyʁ,f
aʁkaiz1,m
aʁkaizm,m
aʁkEOlOʒi,f
aʁkEOptEʁiks,m
aʁʃe,m
aʁʃɛʁ,f
aʁʃE,m
aʁkEtip,m
aʁʃəvEʃe,m
aʁʃəvɛk,m
aʁʃimEfj1s,f
aʁʃimɔʁ,f
aʁʃimɔʁtɛl,m
aʁʃinyl,m
aʁʃipl3,m
aʁʃipʁyd1,m
aʁʃiʁ3gaʁ,m
aʁʃiatʁ,m
aʁʃidjakʁ,m
aʁʃidjOsɛz,m
aʁʃidyk,m
aʁʃidyʃɛs,f
aʁʃipʁɛtʁ,m
aʁʃitEktOni,f
aʁʃitʁav,f
aʁʃivaʒ,m
aʁʃiv,f
aʁk2t,m
aʁs2,m
aʁdEʃwa,m
aʁdənɛz,f
aʁd1,m
aʁdœʁ,f
aʁdij2,m
aʁd3,m
aʁdwaz,f
aʁdwazjɛʁ,f
aʁEa,f
aʁEflEksi,f
aʁEna,m
aʁEn,f
aʁEɔl,f
aʁEOpaʒ,m
aʁEOpaʒit,m
aʁEkje,m
aʁɛt,f
aʁEt3,m
aʁg1,m
aʁʒ1,m
aʁʒ1tje,m
aʁʒ1t3,m
aʁʒ1tin,f
aʁʒ1t2,m
aʁʒil,f
aʁʒiljɛʁ,f
aʁgɔl,m
aʁg2,m
aʁgOnot,m
aʁgo,m
aʁguz3,m
aʁgym1,m
aʁgym1tɛʁ,m
aʁgym1tatœʁ,m
aʁgym1tatif,m
aʁgym1tasj2,f
aʁgys,m
aʁgysi,f
aʁja,m
aʁjanizm,m
aʁidite,f
aʁjEʒwa,m
aʁj3,m
aʁjɛt,f
aʁjOzo,m
aʁistaʁk,m
aʁistOkʁasi,f
aʁistOkʁatizm,m
aʁistOlɔʃ,f
aʁitmEtik,f
aʁitmOmɛtʁ,m
aʁkoz,f
aʁlək3,m
aʁlEzj3,m
aʁlEzjɛn,f
aʁmadil,f
aʁmatyʁ,f
aʁməmiʁakl,f
aʁme,f
aʁməm1,m
aʁmEnj3,m
aʁmEnjɛn,f
aʁmEʁja,f
aʁmistis,m
aʁmwaʁ,f
aʁmwaʁi,f
aʁmwaz,f
aʁm2,m
aʁmOʁjal,m
aʁmyʁ,f
aʁnakœʁ,m
aʁnakøz,f
aʁObaz,f
aʁOmat,m
aʁOmatEʁapi,f
aʁOmatik,m
aʁ2d,f
aʁpɛʒ,m
aʁp1,m
aʁkəbyzad,f
aʁkəbyz,f
aʁaʃaʒ,m
aʁaʃklu,m
aʁaʃøz,f
aʁaʃyʁ,f
aʁ1ʒœʁ,m
aʁEʁaʒ,m
aʁEstasj2,f
aʁɛbyfɛ,m
aʁɛtbœf,m
aʁEte,m
aʁ,f
aʁjEʁasj2,f
aʁjɛʁOtɔn,m
aʁjɛʁb1,m
aʁjɛʁbutik,f
aʁjɛʁkabinɛ,m
aʁjɛʁkuz3,m
aʁjɛʁkɥizin,f
aʁjɛʁf2,m
aʁjɛʁgaʁd,f
aʁjɛʁgɔʁʒ,f
aʁjɛʁgʁ1mɛʁ,f
