Form,Predicted Gender,True Gender,Class Probabilities,Set,Run
ʁi,m,m,"[('i', {'f': 0.33074721693992615, 'm': 0.6692528128623962}), ('ʁ', {'f': 0.45262372493743896, 'm': 0.547376275062561})]",test,1
om,f,m,"[('m', {'f': 0.8211426138877869, 'm': 0.17885740101337433}), ('o', {'f': 0.834700345993042, 'm': 0.1652996987104416})]",test,1
t2,m,m,"[('2', {'f': 0.36410945653915405, 'm': 0.635890543460846}), ('t', {'f': 0.10072268545627594, 'm': 0.8992773294448853})]",test,1
bu,m,m,"[('u', {'f': 0.34804806113243103, 'm': 0.6519519090652466}), ('b', {'f': 0.2809029221534729, 'm': 0.7190971374511719})]",test,1
ɛz,m,f,"[('z', {'f': 0.13598473370075226, 'm': 0.8640152215957642}), ('ɛ', {'f': 0.44594934582710266, 'm': 0.5540506839752197})]",test,1
Om,f,m,"[('m', {'f': 0.8211426138877869, 'm': 0.17885740101337433}), ('O', {'f': 0.5606739521026611, 'm': 0.43932604789733887})]",test,1
1p,m,f,"[('p', {'f': 0.42696815729141235, 'm': 0.5730318427085876}), ('1', {'f': 0.35831961035728455, 'm': 0.6416803598403931})]",test,1
aj,m,m,"[('j', {'f': 0.05953369662165642, 'm': 0.9404663443565369}), ('a', {'f': 0.08316047489643097, 'm': 0.9168395400047302})]",test,1
ik,m,m,"[('k', {'f': 0.3515477180480957, 'm': 0.6484522819519043}), ('i', {'f': 0.06265182793140411, 'm': 0.9373481869697571})]",test,1
at,f,f,"[('t', {'f': 0.6553521156311035, 'm': 0.3446478545665741}), ('a', {'f': 0.8013238310813904, 'm': 0.19867616891860962})]",test,1
bɛ,m,f,"[('ɛ', {'f': 0.5091705918312073, 'm': 0.49082937836647034}), ('b', {'f': 0.4373897910118103, 'm': 0.5626102089881897})]",test,1
ʃu,m,m,"[('u', {'f': 0.34804806113243103, 'm': 0.6519519090652466}), ('ʃ', {'f': 0.13578155636787415, 'm': 0.8642184138298035})]",test,1
ɛn,m,f,"[('n', {'f': 0.47727325558662415, 'm': 0.5227266550064087}), ('ɛ', {'f': 0.38053208589553833, 'm': 0.6194679141044617})]",test,1
ʁɛ,m,m,"[('ɛ', {'f': 0.5091705918312073, 'm': 0.49082937836647034}), ('ʁ', {'f': 0.13893646001815796, 'm': 0.8610634803771973})]",test,1
ɥi,f,m,"[('i', {'f': 0.33074721693992615, 'm': 0.6692528128623962}), ('ɥ', {'f': 0.7098875641822815, 'm': 0.2901124656200409})]",test,1
kɛ,m,m,"[('ɛ', {'f': 0.5091705918312073, 'm': 0.49082937836647034}), ('k', {'f': 0.12205316871404648, 'm': 0.8779467940330505})]",test,1
po,m,m,"[('o', {'f': 0.6365405917167664, 'm': 0.36345937848091125}), ('p', {'f': 0.1547057330608368, 'm': 0.8452942371368408})]",test,1
ʃɛ,m,m,"[('ɛ', {'f': 0.5091705918312073, 'm': 0.49082937836647034}), ('ʃ', {'f': 0.12305863946676254, 'm': 0.8769413828849792})]",test,1
lø,m,m,"[('ø', {'f': 0.21323572099208832, 'm': 0.7867642641067505}), ('l', {'f': 0.09904751181602478, 'm': 0.9009524583816528})]",test,1
mɛ,m,f,"[('ɛ', {'f': 0.5091705918312073, 'm': 0.49082937836647034}), ('m', {'f': 0.27810004353523254, 'm': 0.7218999862670898})]",test,1
vø,m,m,"[('ø', {'f': 0.21323572099208832, 'm': 0.7867642641067505}), ('v', {'f': 0.020927870646119118, 'm': 0.9790721535682678})]",test,1
œj,m,m,"[('j', {'f': 0.05953369662165642, 'm': 0.9404663443565369}), ('œ', {'f': 0.11784212291240692, 'm': 0.8821579217910767})]",test,1
du,f,m,"[('u', {'f': 0.34804806113243103, 'm': 0.6519519090652466}), ('d', {'f': 0.5875524878501892, 'm': 0.4124475419521332})]",test,1
iʁ,f,f,"[('ʁ', {'f': 0.4638349711894989, 'm': 0.5361650586128235}), ('i', {'f': 0.7033879160881042, 'm': 0.29661205410957336})]",test,1
as,f,m,"[('s', {'f': 0.6932231783866882, 'm': 0.3067767918109894}), ('a', {'f': 0.9186072945594788, 'm': 0.08139272779226303})]",test,1
b3,m,m,"[('3', {'f': 0.20436733961105347, 'm': 0.7956326603889465}), ('b', {'f': 0.009885509498417377, 'm': 0.9901144504547119})]",test,1
ʒy,m,m,"[('y', {'f': 0.3603377044200897, 'm': 0.6396622657775879}), ('ʒ', {'f': 0.3174135982990265, 'm': 0.6825863718986511})]",test,1
ki,m,m,"[('i', {'f': 0.33074721693992615, 'm': 0.6692528128623962}), ('k', {'f': 0.20497338473796844, 'm': 0.7950266003608704})]",test,1
ʒu,m,f,"[('u', {'f': 0.34804806113243103, 'm': 0.6519519090652466}), ('ʒ', {'f': 0.14887146651744843, 'm': 0.8511285185813904})]",test,1
uj,f,f,"[('j', {'f': 0.05953369662165642, 'm': 0.9404663443565369}), ('u', {'f': 0.5786314606666565, 'm': 0.4213685095310211})]",test,1
v3,m,m,"[('3', {'f': 0.20436733961105347, 'm': 0.7956326603889465}), ('v', {'f': 0.018455397337675095, 'm': 0.9815446138381958})]",test,1
ʁy,m,f,"[('y', {'f': 0.3603377044200897, 'm': 0.6396622657775879}), ('ʁ', {'f': 0.39156535267829895, 'm': 0.6084346771240234})]",test,1
p2,m,m,"[('2', {'f': 0.36410945653915405, 'm': 0.635890543460846}), ('p', {'f': 0.019922172650694847, 'm': 0.980077862739563})]",test,1
2z,m,m,"[('z', {'f': 0.13598473370075226, 'm': 0.8640152215957642}), ('2', {'f': 0.4046587347984314, 'm': 0.5953413248062134})]",test,1
tu,f,m,"[('u', {'f': 0.34804806113243103, 'm': 0.6519519090652466}), ('t', {'f': 0.5856350064277649, 'm': 0.4143649935722351})]",test,1
s2,m,m,"[('2', {'f': 0.36410945653915405, 'm': 0.635890543460846}), ('s', {'f': 0.29261282086372375, 'm': 0.7073871493339539})]",test,1
mu,f,m,"[('u', {'f': 0.34804806113243103, 'm': 0.6519519090652466}), ('m', {'f': 0.6778320670127869, 'm': 0.3221679627895355})]",test,1
ʁu,m,f,"[('u', {'f': 0.34804806113243103, 'm': 0.6519519090652466}), ('ʁ', {'f': 0.27827852964401245, 'm': 0.7217215299606323})]",test,1
pu,m,m,"[('u', {'f': 0.34804806113243103, 'm': 0.6519519090652466}), ('p', {'f': 0.15303000807762146, 'm': 0.8469700217247009})]",test,1
yp,m,f,"[('p', {'f': 0.42696815729141235, 'm': 0.5730318427085876}), ('y', {'f': 0.30909350514411926, 'm': 0.6909064650535583})]",test,1
œf,f,m,"[('f', {'f': 0.6822288036346436, 'm': 0.3177712559700012}), ('œ', {'f': 0.65045166015625, 'm': 0.3495483100414276})]",test,1
til,m,m,"[('l', {'f': 0.449493408203125, 'm': 0.5505066514015198}), ('i', {'f': 0.3320120871067047, 'm': 0.6679878830909729}), ('t', {'f': 0.47884589433670044, 'm': 0.5211541056632996})]",test,1
pli,m,m,"[('i', {'f': 0.33074721693992615, 'm': 0.6692528128623962}), ('l', {'f': 0.742290198802948, 'm': 0.2577098309993744}), ('p', {'f': 0.37038594484329224, 'm': 0.629613995552063})]",test,1
1t1,m,m,"[('1', {'f': 0.172069251537323, 'm': 0.8279306888580322}), ('t', {'f': 0.11230716854333878, 'm': 0.8876928091049194}), ('1', {'f': 0.004279197659343481, 'm': 0.9957208037376404})]",test,1
yʁe,m,f,"[('e', {'f': 0.34938544034957886, 'm': 0.6506145596504211}), ('ʁ', {'f': 0.20982305705547333, 'm': 0.7901769876480103}), ('y', {'f': 0.2568483352661133, 'm': 0.7431517243385315})]",test,1
ʒ1t,m,f,"[('t', {'f': 0.6553521156311035, 'm': 0.3446478545665741}), ('1', {'f': 0.683985710144043, 'm': 0.31601426005363464}), ('ʒ', {'f': 0.4886089563369751, 'm': 0.5113910436630249})]",test,1
gœn,f,m,"[('n', {'f': 0.47727325558662415, 'm': 0.5227266550064087}), ('œ', {'f': 0.1297893226146698, 'm': 0.8702106475830078}), ('g', {'f': 0.6144368052482605, 'm': 0.3855631947517395})]",test,1
kɔd,m,m,"[('d', {'f': 0.49400484561920166, 'm': 0.5059952139854431}), ('ɔ', {'f': 0.34732919931411743, 'm': 0.6526708006858826}), ('k', {'f': 0.4410644471645355, 'm': 0.5589355230331421})]",test,1
zɛn,m,m,"[('n', {'f': 0.47727325558662415, 'm': 0.5227266550064087}), ('ɛ', {'f': 0.38053208589553833, 'm': 0.6194679141044617}), ('z', {'f': 0.4058881402015686, 'm': 0.5941118001937866})]",test,1
zip,f,m,"[('p', {'f': 0.42696815729141235, 'm': 0.5730318427085876}), ('i', {'f': 0.2470226138830185, 'm': 0.7529774308204651}), ('z', {'f': 0.5223196744918823, 'm': 0.4776802361011505})]",test,1
ʁɔɲ,f,f,"[('ɲ', {'f': 0.5912157893180847, 'm': 0.40878427028656006}), ('ɔ', {'f': 0.8829858899116516, 'm': 0.11701411008834839}), ('ʁ', {'f': 0.9175145626068115, 'm': 0.08248540014028549})]",test,1
maj,f,f,"[('j', {'f': 0.05953369662165642, 'm': 0.9404663443565369}), ('a', {'f': 0.08316047489643097, 'm': 0.9168395400047302}), ('m', {'f': 0.6307957768440247, 'm': 0.36920422315597534})]",test,1
kif,m,m,"[('f', {'f': 0.6822288036346436, 'm': 0.3177712559700012}), ('i', {'f': 0.4259222745895386, 'm': 0.5740777254104614}), ('k', {'f': 0.14048287272453308, 'm': 0.8595171570777893})]",test,1
zum,m,m,"[('m', {'f': 0.8211426138877869, 'm': 0.17885740101337433}), ('u', {'f': 0.5321537852287292, 'm': 0.46784618496894836}), ('z', {'f': 0.24816054105758667, 'm': 0.7518394589424133})]",test,1
maʒ,m,m,"[('ʒ', {'f': 0.4816107153892517, 'm': 0.5183892846107483}), ('a', {'f': 0.5652039647102356, 'm': 0.434796005487442}), ('m', {'f': 0.49323222041130066, 'm': 0.506767749786377})]",test,1
2gl,f,m,"[('l', {'f': 0.449493408203125, 'm': 0.5505066514015198}), ('g', {'f': 0.6830288767814636, 'm': 0.31697118282318115}), ('2', {'f': 0.6590589880943298, 'm': 0.34094101190567017})]",test,1
tʁi,m,m,"[('i', {'f': 0.33074721693992615, 'm': 0.6692528128623962}), ('ʁ', {'f': 0.45262372493743896, 'm': 0.547376275062561}), ('t', {'f': 0.4895501434803009, 'm': 0.5104498863220215})]",test,1
gaʃ,f,f,"[('ʃ', {'f': 0.5961825251579285, 'm': 0.40381744503974915}), ('a', {'f': 0.7772753834724426, 'm': 0.22272463142871857}), ('g', {'f': 0.8787232041358948, 'm': 0.1212768405675888})]",test,1
1kʁ,m,f,"[('ʁ', {'f': 0.4638349711894989, 'm': 0.5361650586128235}), ('k', {'f': 0.25626641511917114, 'm': 0.7437336444854736}), ('1', {'f': 0.033438824117183685, 'm': 0.9665611982345581})]",test,1
1bu,m,m,"[('u', {'f': 0.34804806113243103, 'm': 0.6519519090652466}), ('b', {'f': 0.2809029221534729, 'm': 0.7190971374511719}), ('1', {'f': 0.008805196732282639, 'm': 0.9911947250366211})]",test,1
ʃit,f,m,"[('t', {'f': 0.6553521156311035, 'm': 0.3446478545665741}), ('i', {'f': 0.28550922870635986, 'm': 0.7144908308982849}), ('ʃ', {'f': 0.8730771541595459, 'm': 0.1269228309392929})]",test,1
lak,m,f,"[('k', {'f': 0.3515477180480957, 'm': 0.6484522819519043}), ('a', {'f': 0.22366832196712494, 'm': 0.7763317227363586}), ('l', {'f': 0.04573997110128403, 'm': 0.9542600512504578})]",test,1
t2g,f,f,"[('g', {'f': 0.5760663747787476, 'm': 0.42393362522125244}), ('2', {'f': 0.5294790267944336, 'm': 0.4705209732055664}), ('t', {'f': 0.6211577653884888, 'm': 0.3788422644138336})]",test,1
sɛʁ,m,f,"[('ʁ', {'f': 0.4638349711894989, 'm': 0.5361650586128235}), ('ɛ', {'f': 0.07034147530794144, 'm': 0.9296584725379944}), ('s', {'f': 0.08088864386081696, 'm': 0.9191113710403442})]",test,1
tyn,f,f,"[('n', {'f': 0.47727325558662415, 'm': 0.5227266550064087}), ('y', {'f': 0.6332615613937378, 'm': 0.3667384684085846}), ('t', {'f': 0.8743740916252136, 'm': 0.12562590837478638})]",test,1
bil,m,m,"[('l', {'f': 0.449493408203125, 'm': 0.5505066514015198}), ('i', {'f': 0.3320120871067047, 'm': 0.6679878830909729}), ('b', {'f': 0.315946102142334, 'm': 0.684053897857666})]",test,1
t1p,f,f,"[('p', {'f': 0.42696815729141235, 'm': 0.5730318427085876}), ('1', {'f': 0.35831961035728455, 'm': 0.6416803598403931}), ('t', {'f': 0.7458060383796692, 'm': 0.2541939318180084})]",test,1
ʁɛv,f,m,"[('v', {'f': 0.7047009468078613, 'm': 0.2952989935874939}), ('ɛ', {'f': 0.867219865322113, 'm': 0.13278019428253174}), ('ʁ', {'f': 0.859853982925415, 'm': 0.14014603197574615})]",test,1
mɛs,f,m,"[('s', {'f': 0.6932231783866882, 'm': 0.3067767918109894}), ('ɛ', {'f': 0.8261120915412903, 'm': 0.1738879233598709}), ('m', {'f': 0.9527757167816162, 'm': 0.04722430557012558})]",test,1
aʁm,f,f,"[('m', {'f': 0.8211426138877869, 'm': 0.17885740101337433}), ('ʁ', {'f': 0.7629839777946472, 'm': 0.23701608180999756}), ('a', {'f': 0.8592414259910583, 'm': 0.14075855910778046})]",test,1
mak,m,m,"[('k', {'f': 0.3515477180480957, 'm': 0.6484522819519043}), ('a', {'f': 0.22366832196712494, 'm': 0.7763317227363586}), ('m', {'f': 0.38960206508636475, 'm': 0.61039799451828})]",test,1
m2d,f,m,"[('d', {'f': 0.49400484561920166, 'm': 0.5059952139854431}), ('2', {'f': 0.742445170879364, 'm': 0.257554829120636}), ('m', {'f': 0.7343270182609558, 'm': 0.2656729519367218})]",test,1
kap,m,f,"[('p', {'f': 0.42696815729141235, 'm': 0.5730318427085876}), ('a', {'f': 0.38472050428390503, 'm': 0.6152794361114502}), ('k', {'f': 0.26233428716659546, 'm': 0.7376656532287598})]",test,1
fam,f,f,"[('m', {'f': 0.8211426138877869, 'm': 0.17885740101337433}), ('a', {'f': 0.8103294372558594, 'm': 0.18967054784297943}), ('f', {'f': 0.962696373462677, 'm': 0.0373036228120327})]",test,1
kol,f,m,"[('l', {'f': 0.449493408203125, 'm': 0.5505066514015198}), ('o', {'f': 0.7409312725067139, 'm': 0.2590687572956085}), ('k', {'f': 0.680064857006073, 'm': 0.3199352025985718})]",test,1
dœj,m,m,"[('j', {'f': 0.05953369662165642, 'm': 0.9404663443565369}), ('œ', {'f': 0.11784212291240692, 'm': 0.8821579217910767}), ('d', {'f': 0.23248949646949768, 'm': 0.7675104737281799})]",test,1
amo,m,m,"[('o', {'f': 0.6365405917167664, 'm': 0.36345937848091125}), ('m', {'f': 0.27443432807922363, 'm': 0.7255656123161316}), ('a', {'f': 0.1299106478691101, 'm': 0.8700893521308899})]",test,1
ʁwɛ,m,m,"[('ɛ', {'f': 0.5091705918312073, 'm': 0.49082937836647034}), ('w', {'f': 0.25937965512275696, 'm': 0.7406203150749207}), ('ʁ', {'f': 0.08713889122009277, 'm': 0.912861168384552})]",test,1
fɛv,f,f,"[('v', {'f': 0.7047009468078613, 'm': 0.2952989935874939}), ('ɛ', {'f': 0.867219865322113, 'm': 0.13278019428253174}), ('f', {'f': 0.9194722175598145, 'm': 0.08052781969308853})]",test,1
apa,m,m,"[('a', {'f': 0.37908217310905457, 'm': 0.620917797088623}), ('p', {'f': 0.3211743235588074, 'm': 0.6788256764411926}), ('a', {'f': 0.30816179513931274, 'm': 0.6918382048606873})]",test,1
tiʁ,m,m,"[('ʁ', {'f': 0.4638349711894989, 'm': 0.5361650586128235}), ('i', {'f': 0.7033879160881042, 'm': 0.29661205410957336}), ('t', {'f': 0.21090079843997955, 'm': 0.7890992760658264})]",test,1
ɛst,m,m,"[('t', {'f': 0.6553521156311035, 'm': 0.3446478545665741}), ('s', {'f': 0.4386923015117645, 'm': 0.5613077282905579}), ('ɛ', {'f': 0.24427029490470886, 'm': 0.7557296752929688})]",test,1
kaʁ,m,f,"[('ʁ', {'f': 0.4638349711894989, 'm': 0.5361650586128235}), ('a', {'f': 0.35718557238578796, 'm': 0.6428143978118896}), ('k', {'f': 0.15277327597141266, 'm': 0.8472267389297485})]",test,1
pɛl,f,f,"[('l', {'f': 0.449493408203125, 'm': 0.5505066514015198}), ('ɛ', {'f': 0.6111962199211121, 'm': 0.38880378007888794}), ('p', {'f': 0.7098737955093384, 'm': 0.29012614488601685})]",test,1
bɔʁ,m,m,"[('ʁ', {'f': 0.4638349711894989, 'm': 0.5361650586128235}), ('ɔ', {'f': 0.5499027967453003, 'm': 0.4500972032546997}), ('b', {'f': 0.184186652302742, 'm': 0.8158133625984192})]",test,1
bum,m,m,"[('m', {'f': 0.8211426138877869, 'm': 0.17885740101337433}), ('u', {'f': 0.5321537852287292, 'm': 0.46784618496894836}), ('b', {'f': 0.49207833409309387, 'm': 0.5079216957092285})]",test,1
sak,m,m,"[('k', {'f': 0.3515477180480957, 'm': 0.6484522819519043}), ('a', {'f': 0.22366832196712494, 'm': 0.7763317227363586}), ('s', {'f': 0.3056069016456604, 'm': 0.6943931579589844})]",test,1
ful,f,f,"[('l', {'f': 0.449493408203125, 'm': 0.5505066514015198}), ('u', {'f': 0.6747438907623291, 'm': 0.3252560794353485}), ('f', {'f': 0.7915900349617004, 'm': 0.20840999484062195})]",test,1
avi,m,m,"[('i', {'f': 0.33074721693992615, 'm': 0.6692528128623962}), ('v', {'f': 0.4443001449108124, 'm': 0.5556998252868652}), ('a', {'f': 0.23110778629779816, 'm': 0.768892228603363})]",test,1
lyt,f,m,"[('t', {'f': 0.6553521156311035, 'm': 0.3446478545665741}), ('y', {'f': 0.5683152675628662, 'm': 0.43168479204177856}), ('l', {'f': 0.7509446740150452, 'm': 0.24905525147914886})]",test,1
pœf,f,m,"[('f', {'f': 0.6822288036346436, 'm': 0.3177712559700012}), ('œ', {'f': 0.65045166015625, 'm': 0.3495483100414276}), ('p', {'f': 0.7133934497833252, 'm': 0.2866065800189972})]",test,1
tiʁ,m,f,"[('ʁ', {'f': 0.4638349711894989, 'm': 0.5361650586128235}), ('i', {'f': 0.7033879160881042, 'm': 0.29661205410957336}), ('t', {'f': 0.21090079843997955, 'm': 0.7890992760658264})]",test,1
vɔt,f,m,"[('t', {'f': 0.6553521156311035, 'm': 0.3446478545665741}), ('ɔ', {'f': 0.6702056527137756, 'm': 0.32979437708854675}), ('v', {'f': 0.7676770687103271, 'm': 0.23232290148735046})]",test,1
kaʃ,f,m,"[('ʃ', {'f': 0.5961825251579285, 'm': 0.40381744503974915}), ('a', {'f': 0.7772753834724426, 'm': 0.22272463142871857}), ('k', {'f': 0.7495038509368896, 'm': 0.25049617886543274})]",test,1
ʃay,m,m,"[('y', {'f': 0.3603377044200897, 'm': 0.6396622657775879}), ('a', {'f': 0.1356797218322754, 'm': 0.8643202781677246}), ('ʃ', {'f': 0.03162529319524765, 'm': 0.9683747291564941})]",test,1
bɔn,f,f,"[('n', {'f': 0.47727325558662415, 'm': 0.5227266550064087}), ('ɔ', {'f': 0.5234766602516174, 'm': 0.47652336955070496}), ('b', {'f': 0.781373143196106, 'm': 0.21862685680389404})]",test,1
akɛ,m,m,"[('ɛ', {'f': 0.5091705918312073, 'm': 0.49082937836647034}), ('k', {'f': 0.12205316871404648, 'm': 0.8779467940330505}), ('a', {'f': 0.010766269639134407, 'm': 0.9892337322235107})]",test,1
sul,f,f,"[('l', {'f': 0.449493408203125, 'm': 0.5505066514015198}), ('u', {'f': 0.6747438907623291, 'm': 0.3252560794353485}), ('s', {'f': 0.6704232692718506, 'm': 0.3295767605304718})]",test,1
mwa,m,m,"[('a', {'f': 0.37908217310905457, 'm': 0.620917797088623}), ('w', {'f': 0.15992003679275513, 'm': 0.8400799036026001}), ('m', {'f': 0.3810351490974426, 'm': 0.6189647912979126})]",test,1
lup,f,f,"[('p', {'f': 0.42696815729141235, 'm': 0.5730318427085876}), ('u', {'f': 0.521256148815155, 'm': 0.4787437915802002}), ('l', {'f': 0.5242422223091125, 'm': 0.4757578372955322})]",test,1
pas,f,f,"[('s', {'f': 0.6932231783866882, 'm': 0.3067767918109894}), ('a', {'f': 0.9186072945594788, 'm': 0.08139272779226303}), ('p', {'f': 0.664225161075592, 'm': 0.33577480912208557})]",test,1
klu,m,m,"[('u', {'f': 0.34804806113243103, 'm': 0.6519519090652466}), ('l', {'f': 0.25602278113365173, 'm': 0.7439772486686707}), ('k', {'f': 0.09720883518457413, 'm': 0.9027911424636841})]",test,1
bœg,m,m,"[('g', {'f': 0.5760663747787476, 'm': 0.42393362522125244}), ('œ', {'f': 0.29027992486953735, 'm': 0.7097200751304626}), ('b', {'f': 0.163046196103096, 'm': 0.8369538187980652})]",test,1
sɛl,f,m,"[('l', {'f': 0.449493408203125, 'm': 0.5505066514015198}), ('ɛ', {'f': 0.6111962199211121, 'm': 0.38880378007888794}), ('s', {'f': 0.6325688362121582, 'm': 0.3674311637878418})]",test,1
bʁy,m,f,"[('y', {'f': 0.3603377044200897, 'm': 0.6396622657775879}), ('ʁ', {'f': 0.39156535267829895, 'm': 0.6084346771240234}), ('b', {'f': 0.44976532459259033, 'm': 0.5502346754074097})]",test,1
wat,m,f,"[('t', {'f': 0.6553521156311035, 'm': 0.3446478545665741}), ('a', {'f': 0.8013238310813904, 'm': 0.19867616891860962}), ('w', {'f': 0.3097195327281952, 'm': 0.6902804970741272})]",test,1
puf,m,m,"[('f', {'f': 0.6822288036346436, 'm': 0.3177712559700012}), ('u', {'f': 0.33124035596847534, 'm': 0.6687596440315247}), ('p', {'f': 0.48342061042785645, 'm': 0.5165793895721436})]",test,1
lɛg,f,m,"[('g', {'f': 0.5760663747787476, 'm': 0.42393362522125244}), ('ɛ', {'f': 0.5135407447814941, 'm': 0.48645925521850586}), ('l', {'f': 0.5315175652503967, 'm': 0.46848246455192566})]",test,1
aɛd,m,m,"[('d', {'f': 0.49400484561920166, 'm': 0.5059952139854431}), ('ɛ', {'f': 0.4109618663787842, 'm': 0.589038074016571}), ('a', {'f': 0.3545878827571869, 'm': 0.6454122066497803})]",test,1
aʁɛ,m,m,"[('ɛ', {'f': 0.5091705918312073, 'm': 0.49082937836647034}), ('ʁ', {'f': 0.13893646001815796, 'm': 0.8610634803771973}), ('a', {'f': 0.2833375036716461, 'm': 0.7166625261306763})]",test,1
ʁɔl,f,m,"[('l', {'f': 0.449493408203125, 'm': 0.5505066514015198}), ('ɔ', {'f': 0.6854441165924072, 'm': 0.314555823802948}), ('ʁ', {'f': 0.8921509385108948, 'm': 0.10784909129142761})]",test,1
lim,f,f,"[('m', {'f': 0.8211426138877869, 'm': 0.17885740101337433}), ('i', {'f': 0.5630927085876465, 'm': 0.4369073510169983}), ('l', {'f': 0.7264943718910217, 'm': 0.27350568771362305})]",test,1
ʁɛg,m,m,"[('g', {'f': 0.5760663747787476, 'm': 0.42393362522125244}), ('ɛ', {'f': 0.5135407447814941, 'm': 0.48645925521850586}), ('ʁ', {'f': 0.3076338469982147, 'm': 0.6923661828041077})]",test,1
liz,f,f,"[('z', {'f': 0.13598473370075226, 'm': 0.8640152215957642}), ('i', {'f': 0.6475029587745667, 'm': 0.35249704122543335}), ('l', {'f': 0.9625496864318848, 'm': 0.03745035082101822})]",test,1
ʁim,f,f,"[('m', {'f': 0.8211426138877869, 'm': 0.17885740101337433}), ('i', {'f': 0.5630927085876465, 'm': 0.4369073510169983}), ('ʁ', {'f': 0.7290129661560059, 'm': 0.27098697423934937})]",test,1
vwa,m,f,"[('a', {'f': 0.37908217310905457, 'm': 0.620917797088623}), ('w', {'f': 0.15992003679275513, 'm': 0.8400799036026001}), ('v', {'f': 0.2116052806377411, 'm': 0.7883946895599365})]",test,1
bis,f,m,"[('s', {'f': 0.6932231783866882, 'm': 0.3067767918109894}), ('i', {'f': 0.8149094581604004, 'm': 0.18509049713611603}), ('b', {'f': 0.629890501499176, 'm': 0.37010952830314636})]",test,1
