Form,Alt Form,Predicted Gender,True Gender,Class Probabilities,Set
lɔʃ,loche,f,f,"[('ʃ', {'f': 0.5401440858840942, 'm': 0.4598558843135834}), ('ɔ', {'f': 0.8604980111122131, 'm': 0.13950198888778687}), ('l', {'f': 0.7612797617912292, 'm': 0.23872020840644836})]",test
kɔk,coque,m,f,"[('k', {'f': 0.42228180170059204, 'm': 0.577718198299408}), ('ɔ', {'f': 0.2740735709667206, 'm': 0.725926399230957}), ('k', {'f': 0.18577270209789276, 'm': 0.8142273426055908})]",test
ʃɛk,cheik,m,m,"[('k', {'f': 0.42228180170059204, 'm': 0.577718198299408}), ('ɛ', {'f': 0.22809576988220215, 'm': 0.7719042897224426}), ('ʃ', {'f': 0.049729783087968826, 'm': 0.9502701759338379})]",test
m1g,mangue,f,f,"[('g', {'f': 0.5994905233383179, 'm': 0.40050947666168213}), ('1', {'f': 0.7280876040458679, 'm': 0.27191242575645447}), ('m', {'f': 0.5065701603889465, 'm': 0.49342986941337585})]",test
ɛst,est,m,m,"[('t', {'f': 0.3858436942100525, 'm': 0.6141563057899475}), ('s', {'f': 0.2825208306312561, 'm': 0.7174791693687439}), ('ɛ', {'f': 0.27282223105430603, 'm': 0.7271777987480164})]",test
ʁ2d,ronde,f,f,"[('d', {'f': 0.4621168375015259, 'm': 0.5378832221031189}), ('2', {'f': 0.8333548903465271, 'm': 0.16664506494998932}), ('ʁ', {'f': 0.8777317404747009, 'm': 0.12226822972297668})]",test
kœm,keum,m,m,"[('m', {'f': 0.5900589823722839, 'm': 0.40994101762771606}), ('œ', {'f': 0.6264090538024902, 'm': 0.37359094619750977}), ('k', {'f': 0.4069357216358185, 'm': 0.5930643081665039})]",test
dyk,duc,m,m,"[('k', {'f': 0.42228180170059204, 'm': 0.577718198299408}), ('y', {'f': 0.38056129217147827, 'm': 0.6194387674331665}), ('d', {'f': 0.07661302387714386, 'm': 0.9233869910240173})]",test
kil,kil,m,m,"[('l', {'f': 0.4393223524093628, 'm': 0.5606776475906372}), ('i', {'f': 0.4625178575515747, 'm': 0.5374821424484253}), ('k', {'f': 0.1984221637248993, 'm': 0.8015778064727783})]",test
pɔʁ,porc,f,m,"[('ʁ', {'f': 0.5142263770103455, 'm': 0.48577365279197693}), ('ɔ', {'f': 0.4541477859020233, 'm': 0.5458522439002991}), ('p', {'f': 0.5222638249397278, 'm': 0.47773614525794983})]",test
gl1,gland,m,m,"[('1', {'f': 0.3533245623111725, 'm': 0.6466754674911499}), ('l', {'f': 0.06920494884252548, 'm': 0.9307950735092163}), ('g', {'f': 0.012685924768447876, 'm': 0.9873140454292297})]",test
bɔb,bob,m,m,"[('b', {'f': 0.4940345883369446, 'm': 0.5059653520584106}), ('ɔ', {'f': 0.204810231924057, 'm': 0.7951897978782654}), ('b', {'f': 0.14285896718502045, 'm': 0.8571410179138184})]",test
ʁym,rhume,f,m,"[('m', {'f': 0.5900589823722839, 'm': 0.40994101762771606}), ('y', {'f': 0.5757135152816772, 'm': 0.4242863953113556}), ('ʁ', {'f': 0.6200718283653259, 'm': 0.3799281716346741})]",test
kaʒ,cage,m,f,"[('ʒ', {'f': 0.3119414150714874, 'm': 0.688058614730835}), ('a', {'f': 0.21565423905849457, 'm': 0.784345805644989}), ('k', {'f': 0.13692136108875275, 'm': 0.8630785942077637})]",test
kos,causse,m,m,"[('s', {'f': 0.5474900007247925, 'm': 0.4525099992752075}), ('o', {'f': 0.6206050515174866, 'm': 0.3793949484825134}), ('k', {'f': 0.227460578083992, 'm': 0.7725393772125244})]",test
guʒ,gouge,f,f,"[('ʒ', {'f': 0.3119414150714874, 'm': 0.688058614730835}), ('u', {'f': 0.7370102405548096, 'm': 0.26298975944519043}), ('g', {'f': 0.6034004092216492, 'm': 0.39659950137138367})]",test
sj2,scion,m,m,"[('2', {'f': 0.5643630623817444, 'm': 0.435636967420578}), ('j', {'f': 0.04077846184372902, 'm': 0.9592215418815613}), ('s', {'f': 0.1401365101337433, 'm': 0.8598634600639343})]",test
jɔd,iode,m,m,"[('d', {'f': 0.4621168375015259, 'm': 0.5378832221031189}), ('ɔ', {'f': 0.6303941607475281, 'm': 0.36960580945014954}), ('j', {'f': 0.13550588488578796, 'm': 0.8644940853118896})]",test
taʁ,tard,m,m,"[('ʁ', {'f': 0.5142263770103455, 'm': 0.48577365279197693}), ('a', {'f': 0.6709359884262085, 'm': 0.3290640115737915}), ('t', {'f': 0.2583123743534088, 'm': 0.7416876554489136})]",test
gɛp,guêpe,m,f,"[('p', {'f': 0.5777840614318848, 'm': 0.4222159683704376}), ('ɛ', {'f': 0.3357674777507782, 'm': 0.6642324924468994}), ('g', {'f': 0.4629025161266327, 'm': 0.5370975136756897})]",test
bɔn,bonne,f,f,"[('n', {'f': 0.5614370703697205, 'm': 0.43856292963027954}), ('ɔ', {'f': 0.7106037735939026, 'm': 0.2893962264060974}), ('b', {'f': 0.550757884979248, 'm': 0.44924211502075195})]",test
bɛn,benne,f,f,"[('n', {'f': 0.5614370703697205, 'm': 0.43856292963027954}), ('ɛ', {'f': 0.5580256581306458, 'm': 0.4419742822647095}), ('b', {'f': 0.9203405976295471, 'm': 0.07965939491987228})]",test
bɛk,bec,m,m,"[('k', {'f': 0.42228180170059204, 'm': 0.577718198299408}), ('ɛ', {'f': 0.22809576988220215, 'm': 0.7719042897224426}), ('b', {'f': 0.14585357904434204, 'm': 0.854146420955658})]",test
biz,bise,f,f,"[('z', {'f': 0.1610153466463089, 'm': 0.8389846086502075}), ('i', {'f': 0.5599808096885681, 'm': 0.4400191605091095}), ('b', {'f': 0.9004006385803223, 'm': 0.09959934651851654})]",test
fij,fille,f,f,"[('j', {'f': 0.12872321903705597, 'm': 0.87127685546875}), ('i', {'f': 0.709686279296875, 'm': 0.2903137505054474}), ('f', {'f': 0.9429242610931396, 'm': 0.05707574635744095})]",test
ʁiv,rive,f,f,"[('v', {'f': 0.8513452410697937, 'm': 0.1486547589302063}), ('i', {'f': 0.7523532509803772, 'm': 0.2476467341184616}), ('ʁ', {'f': 0.8980807662010193, 'm': 0.10191921889781952})]",test
kaʁ,car,m,f,"[('ʁ', {'f': 0.5142263770103455, 'm': 0.48577365279197693}), ('a', {'f': 0.6709359884262085, 'm': 0.3290640115737915}), ('k', {'f': 0.2523372769355774, 'm': 0.7476627230644226})]",test
kaʁ,care,m,f,"[('ʁ', {'f': 0.5142263770103455, 'm': 0.48577365279197693}), ('a', {'f': 0.6709359884262085, 'm': 0.3290640115737915}), ('k', {'f': 0.2523372769355774, 'm': 0.7476627230644226})]",test
ʃay,chahut,m,m,"[('y', {'f': 0.4163230061531067, 'm': 0.5836769938468933}), ('a', {'f': 0.01986759342253208, 'm': 0.9801324009895325}), ('ʃ', {'f': 0.00216362695209682, 'm': 0.9978364109992981})]",test
tyf,tuf,m,m,"[('f', {'f': 0.5610143542289734, 'm': 0.4389856457710266}), ('y', {'f': 0.37874144315719604, 'm': 0.621258556842804}), ('t', {'f': 0.15024322271347046, 'm': 0.8497567176818848})]",test
pœf,puff,m,m,"[('f', {'f': 0.5610143542289734, 'm': 0.4389856457710266}), ('œ', {'f': 0.41041451692581177, 'm': 0.5895854830741882}), ('p', {'f': 0.33669397234916687, 'm': 0.6633059978485107})]",test
ʁav,rave,m,f,"[('v', {'f': 0.8513452410697937, 'm': 0.1486547589302063}), ('a', {'f': 0.7619640231132507, 'm': 0.23803602159023285}), ('ʁ', {'f': 0.4928586184978485, 'm': 0.5071413516998291})]",test
bum,boom,m,m,"[('m', {'f': 0.5900589823722839, 'm': 0.40994101762771606}), ('u', {'f': 0.7431967258453369, 'm': 0.2568032741546631}), ('b', {'f': 0.24563539028167725, 'm': 0.754364550113678})]",test
lyt,luth,f,f,"[('t', {'f': 0.3858436942100525, 'm': 0.6141563057899475}), ('y', {'f': 0.7427498698234558, 'm': 0.2572501003742218}), ('l', {'f': 0.7580299377441406, 'm': 0.2419700026512146})]",test
