Form,Alt Form,Predicted Gender,True Gender,Class Probabilities,Set
sen,sɛn,m,m,"[('s', {'f': 0.051552824676036835, 'm': 0.9484471082687378}), ('e', {'f': 0.9940012097358704, 'm': 0.005998777691274881}), ('n', {'f': 0.001503412495367229, 'm': 0.9984965324401855})]",test
van,van,m,m,"[('v', {'f': 0.4955357015132904, 'm': 0.5044642686843872}), ('a', {'f': 0.911027193069458, 'm': 0.08897285163402557}), ('n', {'f': 0.010222487151622772, 'm': 0.9897775053977966})]",test
soc,sɔk,m,m,"[('s', {'f': 0.051552824676036835, 'm': 0.9484471082687378}), ('o', {'f': 0.0531412698328495, 'm': 0.9468587636947632}), ('c', {'f': 0.0639110803604126, 'm': 0.9360888600349426})]",test
bug,bœg,m,m,"[('b', {'f': 0.14102967083454132, 'm': 0.8589703440666199}), ('u', {'f': 0.014075837098062038, 'm': 0.9859241843223572}), ('g', {'f': 0.0028751776553690434, 'm': 0.9971248507499695})]",test
foc,fɔk,m,m,"[('f', {'f': 0.10798577219247818, 'm': 0.89201420545578}), ('o', {'f': 0.024663709104061127, 'm': 0.9753363132476807}), ('c', {'f': 0.0060808067210018635, 'm': 0.9939191341400146})]",test
bol,bɔl,m,m,"[('b', {'f': 0.14102967083454132, 'm': 0.8589703440666199}), ('o', {'f': 0.05120176449418068, 'm': 0.9487982392311096}), ('l', {'f': 0.0026841748040169477, 'm': 0.9973158240318298})]",test
kif,kif,m,m,"[('k', {'f': 0.015325239859521389, 'm': 0.9846748113632202}), ('i', {'f': 0.014445924200117588, 'm': 0.9855540990829468}), ('f', {'f': 0.0011701966868713498, 'm': 0.9988297820091248})]",test
bru,bʁy,m,f,"[('b', {'f': 0.14102967083454132, 'm': 0.8589703440666199}), ('r', {'f': 0.007942020893096924, 'm': 0.9920579791069031}), ('u', {'f': 0.005005211569368839, 'm': 0.9949947595596313})]",test
pot,po,m,m,"[('p', {'f': 0.32748815417289734, 'm': 0.672511875629425}), ('o', {'f': 0.09515640884637833, 'm': 0.9048436284065247}), ('t', {'f': 0.018029045313596725, 'm': 0.9819709658622742})]",test
mob,mɔb,m,f,"[('m', {'f': 0.1316004991531372, 'm': 0.8683995008468628}), ('o', {'f': 0.08861862123012543, 'm': 0.9113813042640686}), ('b', {'f': 0.04900633916258812, 'm': 0.9509937167167664})]",test
aga,aga,m,m,"[('a', {'f': 0.8042901754379272, 'm': 0.19570985436439514}), ('g', {'f': 0.010088087059557438, 'm': 0.9899119734764099}), ('a', {'f': 0.0721239522099495, 'm': 0.9278760552406311})]",test
far,faʁ,m,m,"[('f', {'f': 0.10798577219247818, 'm': 0.89201420545578}), ('a', {'f': 0.6223662495613098, 'm': 0.3776337206363678}), ('r', {'f': 0.015795616433024406, 'm': 0.9842043519020081})]",test
jus,ʒy,m,m,"[('j', {'f': 0.3676781952381134, 'm': 0.632321834564209}), ('u', {'f': 0.05370067059993744, 'm': 0.9462993741035461}), ('s', {'f': 0.007741283159703016, 'm': 0.9922587275505066})]",test
tuf,tyf,m,m,"[('t', {'f': 0.024667123332619667, 'm': 0.9753329157829285}), ('u', {'f': 0.08135834336280823, 'm': 0.9186416268348694}), ('f', {'f': 0.0015862371074035764, 'm': 0.9984138011932373})]",test
val,val,m,m,"[('v', {'f': 0.4955357015132904, 'm': 0.5044642686843872}), ('a', {'f': 0.911027193069458, 'm': 0.08897285163402557}), ('l', {'f': 0.03889770433306694, 'm': 0.9611023664474487})]",test
bic,bik,m,m,"[('b', {'f': 0.14102967083454132, 'm': 0.8589703440666199}), ('i', {'f': 0.026563333347439766, 'm': 0.9734366536140442}), ('c', {'f': 0.0023620259016752243, 'm': 0.9976379871368408})]",test
sas,sas,m,m,"[('s', {'f': 0.051552824676036835, 'm': 0.9484471082687378}), ('a', {'f': 0.7645266652107239, 'm': 0.2354733645915985}), ('s', {'f': 0.09071322530508041, 'm': 0.9092867970466614})]",test
ris,ʁi,m,m,"[('r', {'f': 0.04543609917163849, 'm': 0.9545638561248779}), ('i', {'f': 0.02379702590405941, 'm': 0.9762029647827148}), ('s', {'f': 0.01262291707098484, 'm': 0.9873771071434021})]",test
kid,kid,m,m,"[('k', {'f': 0.015325239859521389, 'm': 0.9846748113632202}), ('i', {'f': 0.014445924200117588, 'm': 0.9855540990829468}), ('d', {'f': 0.008972449228167534, 'm': 0.9910275340080261})]",test
mac,mak,m,m,"[('m', {'f': 0.1316004991531372, 'm': 0.8683995008468628}), ('a', {'f': 0.32343441247940063, 'm': 0.6765655875205994}), ('c', {'f': 0.02405654452741146, 'm': 0.9759435057640076})]",test
tir,tiʁ,m,m,"[('t', {'f': 0.024667123332619667, 'm': 0.9753329157829285}), ('i', {'f': 0.054772987961769104, 'm': 0.9452270269393921}), ('r', {'f': 0.04104657098650932, 'm': 0.9589534401893616})]",test
pou,pu,m,m,"[('p', {'f': 0.32748815417289734, 'm': 0.672511875629425}), ('o', {'f': 0.09515640884637833, 'm': 0.9048436284065247}), ('u', {'f': 0.02354958839714527, 'm': 0.9764503836631775})]",test
kit,kit,m,m,"[('k', {'f': 0.015325239859521389, 'm': 0.9846748113632202}), ('i', {'f': 0.014445924200117588, 'm': 0.9855540990829468}), ('t', {'f': 0.0026106489822268486, 'm': 0.9973893761634827})]",test
kir,kiʁ,m,m,"[('k', {'f': 0.015325239859521389, 'm': 0.9846748113632202}), ('i', {'f': 0.014445924200117588, 'm': 0.9855540990829468}), ('r', {'f': 0.0007961413939483464, 'm': 0.9992038607597351})]",test
vin,v3,m,m,"[('v', {'f': 0.4955357015132904, 'm': 0.5044642686843872}), ('i', {'f': 0.09542352706193924, 'm': 0.9045764803886414}), ('n', {'f': 0.014031622558832169, 'm': 0.9859683513641357})]",test
faf,faf,m,m,"[('f', {'f': 0.10798577219247818, 'm': 0.89201420545578}), ('a', {'f': 0.6223662495613098, 'm': 0.3776337206363678}), ('f', {'f': 0.026508329436182976, 'm': 0.9734916687011719})]",test
rex,ʁɛks,m,m,"[('r', {'f': 0.04543609917163849, 'm': 0.9545638561248779}), ('e', {'f': 0.36522576212882996, 'm': 0.6347742080688477}), ('x', {'f': 0.01432582177221775, 'm': 0.9856742024421692})]",test
mur,myʁ,m,m,"[('m', {'f': 0.1316004991531372, 'm': 0.8683995008468628}), ('u', {'f': 0.03468901664018631, 'm': 0.9653109312057495}), ('r', {'f': 0.1647152602672577, 'm': 0.8352847695350647})]",test
son,s2,m,m,"[('s', {'f': 0.051552824676036835, 'm': 0.9484471082687378}), ('o', {'f': 0.0531412698328495, 'm': 0.9468587636947632}), ('n', {'f': 0.05941244587302208, 'm': 0.94058758020401})]",test
eau,o,m,f,"[('e', {'f': 0.6847098469734192, 'm': 0.3152902126312256}), ('a', {'f': 0.8477709293365479, 'm': 0.15222902595996857}), ('u', {'f': 0.012146002613008022, 'm': 0.98785400390625})]",test
ive,iv,f,f,"[('i', {'f': 0.03429368883371353, 'm': 0.9657063484191895}), ('v', {'f': 0.3047332465648651, 'm': 0.6952667236328125}), ('e', {'f': 0.9688200950622559, 'm': 0.031179901212453842})]",test
suc,syk,m,m,"[('s', {'f': 0.051552824676036835, 'm': 0.9484471082687378}), ('u', {'f': 0.029748545959591866, 'm': 0.9702515006065369}), ('c', {'f': 0.028704212978482246, 'm': 0.9712958335876465})]",test
ais,ɛ,m,m,"[('a', {'f': 0.8042901754379272, 'm': 0.19570985436439514}), ('i', {'f': 0.01982770673930645, 'm': 0.980172336101532}), ('s', {'f': 0.01059214398264885, 'm': 0.9894077777862549})]",test
spa,spa,m,m,"[('s', {'f': 0.051552824676036835, 'm': 0.9484471082687378}), ('p', {'f': 0.14219175279140472, 'm': 0.8578082323074341}), ('a', {'f': 0.15004262328147888, 'm': 0.8499573469161987})]",test
hic,ik,m,m,"[('h', {'f': 0.13247181475162506, 'm': 0.8675282001495361}), ('i', {'f': 0.06421985477209091, 'm': 0.9357801079750061}), ('c', {'f': 0.017436349764466286, 'm': 0.9825636744499207})]",test
bec,bɛk,m,m,"[('b', {'f': 0.14102967083454132, 'm': 0.8589703440666199}), ('e', {'f': 0.04467272758483887, 'm': 0.9553272128105164}), ('c', {'f': 0.0056541976518929005, 'm': 0.9943457245826721})]",test
moi,mwa,m,m,"[('m', {'f': 0.1316004991531372, 'm': 0.8683995008468628}), ('o', {'f': 0.08861862123012543, 'm': 0.9113813042640686}), ('i', {'f': 0.008009440265595913, 'm': 0.9919905066490173})]",test
mec,mɛk,m,m,"[('m', {'f': 0.1316004991531372, 'm': 0.8683995008468628}), ('e', {'f': 0.2363065481185913, 'm': 0.7636934518814087}), ('c', {'f': 0.04186496138572693, 'm': 0.9581350088119507})]",test
tif,tif,m,m,"[('t', {'f': 0.024667123332619667, 'm': 0.9753329157829285}), ('i', {'f': 0.054772987961769104, 'm': 0.9452270269393921}), ('f', {'f': 0.007789870258420706, 'm': 0.9922101497650146})]",test
reg,ʁɛg,m,m,"[('r', {'f': 0.04543609917163849, 'm': 0.9545638561248779}), ('e', {'f': 0.36522576212882996, 'm': 0.6347742080688477}), ('g', {'f': 0.0073926011100411415, 'm': 0.9926074743270874})]",test
car,kaʁ,m,m,"[('c', {'f': 0.05024424567818642, 'm': 0.9497557878494263}), ('a', {'f': 0.5353248119354248, 'm': 0.46467524766921997}), ('r', {'f': 0.0015203752554953098, 'm': 0.9984796643257141})]",test
fer,fɛʁ,m,m,"[('f', {'f': 0.10798577219247818, 'm': 0.89201420545578}), ('e', {'f': 0.3504653573036194, 'm': 0.6495345830917358}), ('r', {'f': 0.02459939941763878, 'm': 0.9754005670547485})]",test
kil,kil,m,m,"[('k', {'f': 0.015325239859521389, 'm': 0.9846748113632202}), ('i', {'f': 0.014445924200117588, 'm': 0.9855540990829468}), ('l', {'f': 0.0008037948864512146, 'm': 0.9991962313652039})]",test
foi,fwa,m,f,"[('f', {'f': 0.10798577219247818, 'm': 0.89201420545578}), ('o', {'f': 0.024663709104061127, 'm': 0.9753363132476807}), ('i', {'f': 0.011652829125523567, 'm': 0.9883471131324768})]",test
but,byt,m,m,"[('b', {'f': 0.14102967083454132, 'm': 0.8589703440666199}), ('u', {'f': 0.014075837098062038, 'm': 0.9859241843223572}), ('t', {'f': 0.0019090779824182391, 'm': 0.998090922832489})]",test
lob,lɔb,m,m,"[('l', {'f': 0.03586263582110405, 'm': 0.9641373157501221}), ('o', {'f': 0.04339984804391861, 'm': 0.9566001892089844}), ('b', {'f': 0.06570716202259064, 'm': 0.9342928528785706})]",test
est,ɛst,m,m,"[('e', {'f': 0.6847098469734192, 'm': 0.3152902126312256}), ('s', {'f': 0.3688230812549591, 'm': 0.6311769485473633}), ('t', {'f': 0.05880758538842201, 'm': 0.9411923885345459})]",test
net,nɛt,m,m,"[('n', {'f': 0.012427196837961674, 'm': 0.9875727891921997}), ('e', {'f': 0.7049206495285034, 'm': 0.2950793504714966}), ('t', {'f': 0.0015936139971017838, 'm': 0.9984063506126404})]",test
cas,ka,m,m,"[('c', {'f': 0.05024424567818642, 'm': 0.9497557878494263}), ('a', {'f': 0.5353248119354248, 'm': 0.46467524766921997}), ('s', {'f': 0.023437857627868652, 'm': 0.9765620827674866})]",test
rif,ʁif,m,m,"[('r', {'f': 0.04543609917163849, 'm': 0.9545638561248779}), ('i', {'f': 0.02379702590405941, 'm': 0.9762029647827148}), ('f', {'f': 0.061829861253499985, 'm': 0.9381701350212097})]",test
max,maks,m,m,"[('m', {'f': 0.1316004991531372, 'm': 0.8683995008468628}), ('a', {'f': 0.32343441247940063, 'm': 0.6765655875205994}), ('x', {'f': 0.08954790234565735, 'm': 0.910452127456665})]",test
rai,ʁɛ,m,m,"[('r', {'f': 0.04543609917163849, 'm': 0.9545638561248779}), ('a', {'f': 0.6125118136405945, 'm': 0.38748815655708313}), ('i', {'f': 0.007952840067446232, 'm': 0.9920471906661987})]",test
alu,aly,m,m,"[('a', {'f': 0.8042901754379272, 'm': 0.19570985436439514}), ('l', {'f': 0.007113004568964243, 'm': 0.9928869605064392}), ('u', {'f': 0.002089222427457571, 'm': 0.9979107975959778})]",test
zip,zip,m,m,"[('z', {'f': 0.10880200564861298, 'm': 0.8911979794502258}), ('i', {'f': 0.022602690383791924, 'm': 0.9773972630500793}), ('p', {'f': 0.013959752395749092, 'm': 0.9860402345657349})]",test
los,lo,m,m,"[('l', {'f': 0.03586263582110405, 'm': 0.9641373157501221}), ('o', {'f': 0.04339984804391861, 'm': 0.9566001892089844}), ('s', {'f': 0.0034659819211810827, 'm': 0.996533989906311})]",test
glu,gly,m,f,"[('g', {'f': 0.0452614389359951, 'm': 0.9547385573387146}), ('l', {'f': 0.005859835539013147, 'm': 0.994140088558197}), ('u', {'f': 0.005974555853754282, 'm': 0.994025468826294})]",test
ail,aj,m,m,"[('a', {'f': 0.8042901754379272, 'm': 0.19570985436439514}), ('i', {'f': 0.01982770673930645, 'm': 0.980172336101532}), ('l', {'f': 0.004519252106547356, 'm': 0.9954807758331299})]",test
gun,gœn,m,m,"[('g', {'f': 0.0452614389359951, 'm': 0.9547385573387146}), ('u', {'f': 0.0024076069239526987, 'm': 0.9975923895835876}), ('n', {'f': 0.001507136388681829, 'm': 0.9984928369522095})]",test
are,aʁ,m,m,"[('a', {'f': 0.8042901754379272, 'm': 0.19570985436439514}), ('r', {'f': 0.006778637878596783, 'm': 0.9932214021682739}), ('e', {'f': 0.5071098208427429, 'm': 0.4928900897502899})]",test
bob,bɔb,m,m,"[('b', {'f': 0.14102967083454132, 'm': 0.8589703440666199}), ('o', {'f': 0.05120176449418068, 'm': 0.9487982392311096}), ('b', {'f': 0.01046768855303526, 'm': 0.9895323514938354})]",test
leu,lø,m,m,"[('l', {'f': 0.03586263582110405, 'm': 0.9641373157501221}), ('e', {'f': 0.7559603452682495, 'm': 0.2440395951271057}), ('u', {'f': 0.00784656684845686, 'm': 0.9921534657478333})]",test
lux,lyks,m,m,"[('l', {'f': 0.03586263582110405, 'm': 0.9641373157501221}), ('u', {'f': 0.008242164738476276, 'm': 0.9917578101158142}), ('x', {'f': 0.020496543496847153, 'm': 0.9795035123825073})]",test
chi,ki,m,m,"[('c', {'f': 0.05024424567818642, 'm': 0.9497557878494263}), ('h', {'f': 0.023787114769220352, 'm': 0.9762128591537476}), ('i', {'f': 0.019639702513813972, 'm': 0.9803603291511536})]",test
bas,ba,m,m,"[('b', {'f': 0.14102967083454132, 'm': 0.8589703440666199}), ('a', {'f': 0.5108013153076172, 'm': 0.48919862508773804}), ('s', {'f': 0.03662648797035217, 'm': 0.9633735418319702})]",test
gay,gɛ,m,m,"[('g', {'f': 0.0452614389359951, 'm': 0.9547385573387146}), ('a', {'f': 0.27643081545829773, 'm': 0.7235691547393799}), ('y', {'f': 0.009868912398815155, 'm': 0.9901310205459595})]",test
sud,syd,m,m,"[('s', {'f': 0.051552824676036835, 'm': 0.9484471082687378}), ('u', {'f': 0.029748545959591866, 'm': 0.9702515006065369}), ('d', {'f': 0.025570297613739967, 'm': 0.9744296669960022})]",test
vie,vi,f,f,"[('v', {'f': 0.4955357015132904, 'm': 0.5044642686843872}), ('i', {'f': 0.09542352706193924, 'm': 0.9045764803886414}), ('e', {'f': 0.9989610910415649, 'm': 0.0010389487724751234})]",test
mer,mɛʁ,m,f,"[('m', {'f': 0.1316004991531372, 'm': 0.8683995008468628}), ('e', {'f': 0.2363065481185913, 'm': 0.7636934518814087}), ('r', {'f': 0.10529981553554535, 'm': 0.8947002291679382})]",test
tex,tɛks,m,m,"[('t', {'f': 0.024667123332619667, 'm': 0.9753329157829285}), ('e', {'f': 0.6866191625595093, 'm': 0.3133808374404907}), ('x', {'f': 0.0055818515829741955, 'm': 0.9944181442260742})]",test
pie,pi,f,f,"[('p', {'f': 0.32748815417289734, 'm': 0.672511875629425}), ('i', {'f': 0.061819177120923996, 'm': 0.9381808638572693}), ('e', {'f': 0.9962080717086792, 'm': 0.003791860770434141})]",test
axe,aks,f,m,"[('a', {'f': 0.8042901754379272, 'm': 0.19570985436439514}), ('x', {'f': 0.013398085720837116, 'm': 0.9866018891334534}), ('e', {'f': 0.7524751424789429, 'm': 0.2475249022245407})]",test
boa,bOa,m,m,"[('b', {'f': 0.14102967083454132, 'm': 0.8589703440666199}), ('o', {'f': 0.05120176449418068, 'm': 0.9487982392311096}), ('a', {'f': 0.20547959208488464, 'm': 0.794520378112793})]",test
pli,pli,m,m,"[('p', {'f': 0.32748815417289734, 'm': 0.672511875629425}), ('l', {'f': 0.08332272619009018, 'm': 0.9166772365570068}), ('i', {'f': 0.04922831431031227, 'm': 0.950771689414978})]",test
duc,dyk,m,m,"[('d', {'f': 0.08692196011543274, 'm': 0.9130780696868896}), ('u', {'f': 0.022044822573661804, 'm': 0.977955162525177}), ('c', {'f': 0.022642366588115692, 'm': 0.9773576855659485})]",test
vol,vɔl,m,m,"[('v', {'f': 0.4955357015132904, 'm': 0.5044642686843872}), ('o', {'f': 0.09188719093799591, 'm': 0.9081128239631653}), ('l', {'f': 0.010061378590762615, 'm': 0.9899386167526245})]",test
duo,dɥo,m,m,"[('d', {'f': 0.08692196011543274, 'm': 0.9130780696868896}), ('u', {'f': 0.022044822573661804, 'm': 0.977955162525177}), ('o', {'f': 0.03408772498369217, 'm': 0.9659122824668884})]",test
par,paʁ,m,m,"[('p', {'f': 0.32748815417289734, 'm': 0.672511875629425}), ('a', {'f': 0.7065708637237549, 'm': 0.2934291362762451}), ('r', {'f': 0.0043341931886971, 'm': 0.9956658482551575})]",test
obi,Obi,m,f,"[('o', {'f': 0.06912952661514282, 'm': 0.9308704733848572}), ('b', {'f': 0.06708887219429016, 'm': 0.9329110980033875}), ('i', {'f': 0.023387486115098, 'm': 0.9766124486923218})]",test
dais,dɛ,m,m,"[('d', {'f': 0.08692196011543274, 'm': 0.9130780696868896}), ('a', {'f': 0.6878436207771301, 'm': 0.3121563494205475}), ('i', {'f': 0.00694867642596364, 'm': 0.993051290512085}), ('s', {'f': 0.009703855961561203, 'm': 0.9902960658073425})]",test
palu,paly,m,m,"[('p', {'f': 0.32748815417289734, 'm': 0.672511875629425}), ('a', {'f': 0.7065708637237549, 'm': 0.2934291362762451}), ('l', {'f': 0.012829720042645931, 'm': 0.9871702790260315}), ('u', {'f': 0.003061989787966013, 'm': 0.9969379901885986})]",test
haie,ɛ,f,f,"[('h', {'f': 0.13247181475162506, 'm': 0.8675282001495361}), ('a', {'f': 0.7498143911361694, 'm': 0.2501855492591858}), ('i', {'f': 0.016491245478391647, 'm': 0.9835087656974792}), ('e', {'f': 0.9993500113487244, 'm': 0.0006499697337858379})]",test
buée,bɥe,f,f,"[('b', {'f': 0.14102967083454132, 'm': 0.8589703440666199}), ('u', {'f': 0.014075837098062038, 'm': 0.9859241843223572}), ('é', {'f': 0.0020235846750438213, 'm': 0.9979764819145203}), ('e', {'f': 0.9997376799583435, 'm': 0.00026234437245875597})]",test
thon,t2,m,m,"[('t', {'f': 0.024667123332619667, 'm': 0.9753329157829285}), ('h', {'f': 0.05216601863503456, 'm': 0.9478340148925781}), ('o', {'f': 0.03595314547419548, 'm': 0.964046835899353}), ('n', {'f': 0.0010927732801064849, 'm': 0.998907208442688})]",test
clin,kl3,m,m,"[('c', {'f': 0.05024424567818642, 'm': 0.9497557878494263}), ('l', {'f': 0.010327835567295551, 'm': 0.9896721839904785}), ('i', {'f': 0.024014869704842567, 'm': 0.9759851694107056}), ('n', {'f': 0.0001489114511059597, 'm': 0.9998511075973511})]",test
urée,yʁe,f,f,"[('u', {'f': 0.02316923625767231, 'm': 0.9768307209014893}), ('r', {'f': 0.16524486243724823, 'm': 0.8347551226615906}), ('é', {'f': 0.015683703124523163, 'm': 0.9843162894248962}), ('e', {'f': 0.9995573163032532, 'm': 0.0004426648956723511})]",test
cave,kav,f,f,"[('c', {'f': 0.05024424567818642, 'm': 0.9497557878494263}), ('a', {'f': 0.5353248119354248, 'm': 0.46467524766921997}), ('v', {'f': 0.015334387309849262, 'm': 0.9846656322479248}), ('e', {'f': 0.8408495783805847, 'm': 0.15915042161941528})]",test
puce,pys,m,f,"[('p', {'f': 0.32748815417289734, 'm': 0.672511875629425}), ('u', {'f': 0.0467645637691021, 'm': 0.9532354474067688}), ('c', {'f': 0.01479338388890028, 'm': 0.985206663608551}), ('e', {'f': 0.1529570072889328, 'm': 0.847042977809906})]",test
fine,fin,f,f,"[('f', {'f': 0.10798577219247818, 'm': 0.89201420545578}), ('i', {'f': 0.015069584362208843, 'm': 0.9849303960800171}), ('n', {'f': 0.0013278201222419739, 'm': 0.9986722469329834}), ('e', {'f': 0.9961362481117249, 'm': 0.003863679012283683})]",test
volt,vɔlt,m,m,"[('v', {'f': 0.4955357015132904, 'm': 0.5044642686843872}), ('o', {'f': 0.09188719093799591, 'm': 0.9081128239631653}), ('l', {'f': 0.010061378590762615, 'm': 0.9899386167526245}), ('t', {'f': 0.10828398913145065, 'm': 0.8917160034179688})]",test
skaï,skaj,m,m,"[('s', {'f': 0.051552824676036835, 'm': 0.9484471082687378}), ('k', {'f': 0.1225745677947998, 'm': 0.8774253726005554}), ('a', {'f': 0.20251743495464325, 'm': 0.7974826097488403}), ('ï', {'f': 0.00528944656252861, 'm': 0.9947105646133423})]",test
quai,kɛ,m,m,"[('q', {'f': 0.3871300518512726, 'm': 0.612869918346405}), ('u', {'f': 0.058812279254198074, 'm': 0.9411876797676086}), ('a', {'f': 0.320039838552475, 'm': 0.6799601912498474}), ('i', {'f': 0.015466899611055851, 'm': 0.9845331311225891})]",test
para,paʁa,m,m,"[('p', {'f': 0.32748815417289734, 'm': 0.672511875629425}), ('a', {'f': 0.7065708637237549, 'm': 0.2934291362762451}), ('r', {'f': 0.0043341931886971, 'm': 0.9956658482551575}), ('a', {'f': 0.42861154675483704, 'm': 0.5713884234428406})]",test
doux,du,m,m,"[('d', {'f': 0.08692196011543274, 'm': 0.9130780696868896}), ('o', {'f': 0.08927997946739197, 'm': 0.9107199907302856}), ('u', {'f': 0.015420612879097462, 'm': 0.98457932472229}), ('x', {'f': 0.09149052947759628, 'm': 0.9085094928741455})]",test
