Form,Alt Form,Predicted Gender,True Gender,Class Probabilities,Set
mad,,m,f,"[('d', {'f': 0.5698218941688538, 'm': 0.43017813563346863}), ('a', {'f': 0.6745611429214478, 'm': 0.32543888688087463}), ('m', {'f': 0.0983683243393898, 'm': 0.9016316533088684})]",test
lik,,m,m,"[('k', {'f': 0.24361148476600647, 'm': 0.7563886046409607}), ('i', {'f': 0.02151333913207054, 'm': 0.9784866571426392}), ('l', {'f': 0.08660347759723663, 'm': 0.9133965373039246})]",test
dik,,m,m,"[('k', {'f': 0.24361148476600647, 'm': 0.7563886046409607}), ('i', {'f': 0.02151333913207054, 'm': 0.9784866571426392}), ('d', {'f': 0.13871131837368011, 'm': 0.8612886667251587})]",test
lib,,m,m,"[('b', {'f': 0.16501574218273163, 'm': 0.834984302520752}), ('i', {'f': 0.0840853676199913, 'm': 0.9159145951271057}), ('l', {'f': 0.24406228959560394, 'm': 0.7559376955032349})]",test
ylf,,m,m,"[('f', {'f': 0.09348046034574509, 'm': 0.9065195322036743}), ('l', {'f': 0.0894998088479042, 'm': 0.9105002284049988}), ('y', {'f': 0.002545308554545045, 'm': 0.9974547028541565})]",test
ʁɔb,robe,m,m,"[('b', {'f': 0.16501574218273163, 'm': 0.834984302520752}), ('ɔ', {'f': 0.04804091528058052, 'm': 0.9519590735435486}), ('ʁ', {'f': 0.0014923205599188805, 'm': 0.9985076785087585})]",test
lam,,m,f,"[('m', {'f': 0.1066918671131134, 'm': 0.8933081030845642}), ('a', {'f': 0.03744230791926384, 'm': 0.9625577330589294}), ('l', {'f': 0.22970637679100037, 'm': 0.770293653011322})]",test
lyt,luth,f,m,"[('t', {'f': 0.5673497915267944, 'm': 0.43265023827552795}), ('y', {'f': 0.42443081736564636, 'm': 0.575569212436676}), ('l', {'f': 0.7639654278755188, 'm': 0.2360345721244812})]",test
lyt,lutte,f,m,"[('t', {'f': 0.5673497915267944, 'm': 0.43265023827552795}), ('y', {'f': 0.42443081736564636, 'm': 0.575569212436676}), ('l', {'f': 0.7639654278755188, 'm': 0.2360345721244812})]",test
ɲɔp,,m,f,"[('p', {'f': 0.5187153220176697, 'm': 0.4812847077846527}), ('ɔ', {'f': 0.1438724547624588, 'm': 0.8561275005340576}), ('ɲ', {'f': 0.45333170890808105, 'm': 0.5466683506965637})]",test
osa,,m,m,"[('a', {'f': 0.42641595005989075, 'm': 0.5735840201377869}), ('s', {'f': 0.7941641211509705, 'm': 0.20583584904670715}), ('o', {'f': 0.006074377801269293, 'm': 0.9939256310462952})]",test
ska,,m,m,"[('a', {'f': 0.42641595005989075, 'm': 0.5735840201377869}), ('k', {'f': 0.10262063145637512, 'm': 0.8973793387413025}), ('s', {'f': 0.018649065867066383, 'm': 0.9813508987426758})]",test
maf,,m,f,"[('f', {'f': 0.09348046034574509, 'm': 0.9065195322036743}), ('a', {'f': 0.04260691627860069, 'm': 0.9573930501937866}), ('m', {'f': 0.42589351534843445, 'm': 0.5741065144538879})]",test
mop,,m,f,"[('p', {'f': 0.5187153220176697, 'm': 0.4812847077846527}), ('o', {'f': 0.09920624643564224, 'm': 0.9007936716079712}), ('m', {'f': 0.03948163241147995, 'm': 0.9605183005332947})]",test
pan,,f,f,"[('n', {'f': 0.9283567070960999, 'm': 0.07164332270622253}), ('a', {'f': 0.5856150984764099, 'm': 0.41438499093055725}), ('p', {'f': 0.5897191166877747, 'm': 0.41028082370758057})]",test
b3l,,m,m,"[('l', {'f': 0.3796626329421997, 'm': 0.6203374266624451}), ('3', {'f': 0.0007932629087008536, 'm': 0.9992067217826843}), ('b', {'f': 0.0715012177824974, 'm': 0.9284988045692444})]",test
fat,,m,m,"[('t', {'f': 0.5673497915267944, 'm': 0.43265023827552795}), ('a', {'f': 0.8056814670562744, 'm': 0.19431853294372559}), ('f', {'f': 0.2520087659358978, 'm': 0.7479912638664246})]",test
ulf,,m,m,"[('f', {'f': 0.09348046034574509, 'm': 0.9065195322036743}), ('l', {'f': 0.0894998088479042, 'm': 0.9105002284049988}), ('u', {'f': 0.005176968406885862, 'm': 0.9948229789733887})]",test
t1f,,f,f,"[('f', {'f': 0.09348046034574509, 'm': 0.9065195322036743}), ('1', {'f': 8.040963439270854e-05, 'm': 0.9999195337295532}), ('t', {'f': 0.9858106374740601, 'm': 0.014189384877681732})]",test
ʁɔn,,m,m,"[('n', {'f': 0.9283567070960999, 'm': 0.07164332270622253}), ('ɔ', {'f': 0.4080648720264435, 'm': 0.5919350981712341}), ('ʁ', {'f': 0.0007759339059703052, 'm': 0.999224066734314})]",test
ibO,,f,f,"[('O', {'f': 0.06836339086294174, 'm': 0.9316366314888}), ('b', {'f': 0.23898279666900635, 'm': 0.7610172033309937}), ('i', {'f': 0.8735005855560303, 'm': 0.12649935483932495})]",test
kam,,m,f,"[('m', {'f': 0.1066918671131134, 'm': 0.8933081030845642}), ('a', {'f': 0.03744230791926384, 'm': 0.9625577330589294}), ('k', {'f': 0.09840092808008194, 'm': 0.9015989899635315})]",test
dɛa,,f,m,"[('a', {'f': 0.42641595005989075, 'm': 0.5735840201377869}), ('ɛ', {'f': 0.011697650887072086, 'm': 0.9883024096488953}), ('d', {'f': 0.9911940693855286, 'm': 0.008805959485471249})]",test
lɔʁ,,m,m,"[('ʁ', {'f': 0.11478514224290848, 'm': 0.8852149248123169}), ('ɔ', {'f': 0.40575146675109863, 'm': 0.5942485332489014}), ('l', {'f': 0.4207307696342468, 'm': 0.5792691707611084})]",test
awm,,m,m,"[('m', {'f': 0.1066918671131134, 'm': 0.8933081030845642}), ('w', {'f': 0.9113869667053223, 'm': 0.08861298114061356}), ('a', {'f': 0.2580786347389221, 'm': 0.7419213652610779})]",test
kɛb,,m,m,"[('b', {'f': 0.16501574218273163, 'm': 0.834984302520752}), ('ɛ', {'f': 0.007823050953447819, 'm': 0.9921769499778748}), ('k', {'f': 0.0381886251270771, 'm': 0.961811363697052})]",test
k2k,conque,m,f,"[('k', {'f': 0.24361148476600647, 'm': 0.7563886046409607}), ('2', {'f': 0.006027659866958857, 'm': 0.9939723610877991}), ('k', {'f': 0.3231533467769623, 'm': 0.6768466830253601})]",test
g1b,,m,m,"[('b', {'f': 0.16501574218273163, 'm': 0.834984302520752}), ('1', {'f': 0.0003384650335647166, 'm': 0.9996615648269653}), ('g', {'f': 0.34270229935646057, 'm': 0.657297670841217})]",test
kam,,m,m,"[('m', {'f': 0.1066918671131134, 'm': 0.8933081030845642}), ('a', {'f': 0.03744230791926384, 'm': 0.9625577330589294}), ('k', {'f': 0.09840092808008194, 'm': 0.9015989899635315})]",test
mɛn,,m,m,"[('n', {'f': 0.9283567070960999, 'm': 0.07164332270622253}), ('ɛ', {'f': 0.03224347531795502, 'm': 0.967756450176239}), ('m', {'f': 0.09547124803066254, 'm': 0.904528796672821})]",test
ʁb1,,f,m,"[('1', {'f': 0.00016485655214637518, 'm': 0.9998351335525513}), ('b', {'f': 0.8944159150123596, 'm': 0.10558411478996277}), ('ʁ', {'f': 0.9064911007881165, 'm': 0.09350886940956116})]",test
las,,m,f,"[('s', {'f': 0.2759721279144287, 'm': 0.7240278720855713}), ('a', {'f': 0.3915024697780609, 'm': 0.6084975004196167}), ('l', {'f': 0.2664695680141449, 'm': 0.7335304617881775})]",test
piz,,m,m,"[('z', {'f': 0.9856353998184204, 'm': 0.01436456199735403}), ('i', {'f': 0.8644368052482605, 'm': 0.1355631947517395}), ('p', {'f': 0.052156317979097366, 'm': 0.9478436708450317})]",test
lɔv,,f,m,"[('v', {'f': 0.9786179065704346, 'm': 0.021382072940468788}), ('ɔ', {'f': 0.366024911403656, 'm': 0.633975088596344}), ('l', {'f': 0.6754922270774841, 'm': 0.32450780272483826})]",test
nyd,,f,f,"[('d', {'f': 0.5698218941688538, 'm': 0.43017813563346863}), ('y', {'f': 0.08751169592142105, 'm': 0.9124882817268372}), ('n', {'f': 0.8395219445228577, 'm': 0.16047804057598114})]",test
fœv,,m,m,"[('v', {'f': 0.9786179065704346, 'm': 0.021382072940468788}), ('œ', {'f': 0.5814623236656189, 'm': 0.4185376465320587}), ('f', {'f': 0.09526411443948746, 'm': 0.9047358632087708})]",test
lot,,m,f,"[('t', {'f': 0.5673497915267944, 'm': 0.43265023827552795}), ('o', {'f': 0.013963783159852028, 'm': 0.9860361814498901}), ('l', {'f': 0.17860272526741028, 'm': 0.8213972449302673})]",test
ʁt1,,m,m,"[('1', {'f': 0.00016485655214637518, 'm': 0.9998351335525513}), ('t', {'f': 0.9913278222084045, 'm': 0.00867224670946598}), ('ʁ', {'f': 0.011347191408276558, 'm': 0.988652765750885})]",test
noz,,m,f,"[('z', {'f': 0.9856353998184204, 'm': 0.01436456199735403}), ('o', {'f': 0.011198287829756737, 'm': 0.9888017177581787}), ('n', {'f': 0.44434884190559387, 'm': 0.5556511878967285})]",test
ɛlp,,m,f,"[('p', {'f': 0.5187153220176697, 'm': 0.4812847077846527}), ('l', {'f': 0.21246634423732758, 'm': 0.787533700466156}), ('ɛ', {'f': 0.00348662375472486, 'm': 0.9965134263038635})]",test
ʁɛt,,m,f,"[('t', {'f': 0.5673497915267944, 'm': 0.43265023827552795}), ('ɛ', {'f': 0.13536910712718964, 'm': 0.8646308779716492}), ('ʁ', {'f': 0.0037675751373171806, 'm': 0.9962324500083923})]",test
kal,cale,m,f,"[('l', {'f': 0.3796626329421997, 'm': 0.6203374266624451}), ('a', {'f': 0.43996214866638184, 'm': 0.5600378513336182}), ('k', {'f': 0.06229526177048683, 'm': 0.9377047419548035})]",test
ʁɛs,,m,f,"[('s', {'f': 0.2759721279144287, 'm': 0.7240278720855713}), ('ɛ', {'f': 0.03723837435245514, 'm': 0.9627617001533508}), ('ʁ', {'f': 0.011491269804537296, 'm': 0.9885087609291077})]",test
of3,,m,f,"[('3', {'f': 0.006716928910464048, 'm': 0.9932830333709717}), ('f', {'f': 0.23612810671329498, 'm': 0.763871967792511}), ('o', {'f': 0.01165778934955597, 'm': 0.9883422255516052})]",test
yʁb,,m,f,"[('b', {'f': 0.16501574218273163, 'm': 0.834984302520752}), ('ʁ', {'f': 0.07033664733171463, 'm': 0.929663360118866}), ('y', {'f': 0.09679724276065826, 'm': 0.9032027721405029})]",test
1s1,encens,m,m,"[('1', {'f': 0.00016485655214637518, 'm': 0.9998351335525513}), ('s', {'f': 0.9998843669891357, 'm': 0.00011563902808120474}), ('1', {'f': 0.00020608519844245166, 'm': 0.9997939467430115})]",test
sɛm,,f,f,"[('m', {'f': 0.1066918671131134, 'm': 0.8933081030845642}), ('ɛ', {'f': 0.00954040139913559, 'm': 0.9904595613479614}), ('s', {'f': 0.9777234196662903, 'm': 0.022276513278484344})]",test
gɛl,,m,m,"[('l', {'f': 0.3796626329421997, 'm': 0.6203374266624451}), ('ɛ', {'f': 0.003240024670958519, 'm': 0.9967599511146545}), ('g', {'f': 0.29515784978866577, 'm': 0.7048420906066895})]",test
kɔt,,m,f,"[('t', {'f': 0.5673497915267944, 'm': 0.43265023827552795}), ('ɔ', {'f': 0.04016576334834099, 'm': 0.9598342776298523}), ('k', {'f': 0.34443798661231995, 'm': 0.6555619835853577})]",test
lyb,,m,m,"[('b', {'f': 0.16501574218273163, 'm': 0.834984302520752}), ('y', {'f': 0.029355963692069054, 'm': 0.9706440567970276}), ('l', {'f': 0.45177868008613586, 'm': 0.5482212901115417})]",test
vaʁ,,f,f,"[('ʁ', {'f': 0.11478514224290848, 'm': 0.8852149248123169}), ('a', {'f': 0.3868906497955322, 'm': 0.613109290599823}), ('v', {'f': 0.8021621108055115, 'm': 0.19783788919448853})]",test
nɛʁ,nerf,f,m,"[('ʁ', {'f': 0.11478514224290848, 'm': 0.8852149248123169}), ('ɛ', {'f': 0.4649912416934967, 'm': 0.5350087285041809}), ('n', {'f': 0.7492823600769043, 'm': 0.2507176399230957})]",test
dɛw,,m,m,"[('w', {'f': 0.593271017074585, 'm': 0.4067290127277374}), ('ɛ', {'f': 0.0019465717487037182, 'm': 0.9980534315109253}), ('d', {'f': 0.01210561953485012, 'm': 0.9878943562507629})]",test
